probe_id,issue_class,probe_type,query,gold_choice_id,fix_applied,revalidation_pass
mdgo_v11_probe_000019,balance_scope_and_reuse,suggestion_rejection_pair,Reconcile the latest activity on card ending 8748 for the studio equipment invoice. Prepare a $305 payment from checking ending 4222 to Riverview Energy for April 9. The reviewer has a comparison worksheet open beside the case. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,B,family-wide scope/replacement clarification plus decision-unit macro grouping,1
mdgo_v11_probe_000023,balance_scope_and_reuse,triple_asof_interleaved,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: Reconcile the latest activity on card ending 8748 for the quarterly tax reserve. A $864 charge at Lakeside Studio is unfamiliar on card ending 8748. The $360 charge from Willow Pharmacy on card ending 8748 still does not reconcile. Please keep the response compact even though the case has more than one workstream. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route.",A,family-wide scope/replacement clarification plus decision-unit macro grouping,1
mdgo_v11_probe_000236,scope_temporal_binding,scope_temporal_pair,"Build one closeout without merging the time scopes. Use my current standing process for the first workstream: Lumen Suite 9.3.4 closes when I use report builder in Edge. Use the process effective at 10:00 am on April 29, 2023 for the second: The file preview issue in Lumen Suite has survived the first check; move the case forward. A familiar phrase appears in this request, while the actual scope and date remain case-specific. I am between meetings; give me one coherent closeout without dropping any checkpoint.",D,explicit current-vs-historical binding,1
mdgo_v11_probe_000313,balance_scope_and_reuse,suggestion_rejection_pair,Reconcile the latest activity on card ending 8748 for the annual insurance renewal. Set up the $1224 transfer from savings ending 7424 to checking ending 4222 for the clinic reimbursement. The reviewer has a comparison worksheet open beside the case. The other party is available for two short check-ins. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,D,family-wide scope/replacement clarification plus decision-unit macro grouping,1
mdgo_v11_probe_000541,balance_scope_and_reuse,triple_asof_interleaved,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: Compare financing paths for a $5440 home repair. Reconcile the latest activity on card ending 8748 for the home repair. Card ending 8748 went missing during the annual insurance renewal. Please keep the response compact even though the case has more than one workstream. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route.",A,family-wide scope/replacement clarification plus decision-unit macro grouping,1
mdgo_v11_probe_000926,balance_scope_and_reuse,triple_asof_interleaved,"Complete one period-correct handoff for the policy state as of 12:30 am on June 4, 2025: Reconcile the latest activity on card ending 8748 for the clinic reimbursement. A $1342 charge at Meadow Insurance is unfamiliar on card ending 8748. Prepare a $175 payment from checking ending 4222 to Riverview Energy for November 13. I am between meetings; give me one coherent closeout without dropping any checkpoint. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route.",A,family-wide scope/replacement clarification plus decision-unit macro grouping,1
mdgo_v11_probe_001166,scope_temporal_binding,scope_temporal_pair,"Build one closeout without merging the time scopes. Use my current standing process for the first workstream: Show me how to configure file preview in Seabird Office 9.2.0. Use the process effective at 9:00 am on April 25, 2023 for the second: Check the installation guidance for offline search on macOS 15. A familiar phrase appears in this request, while the actual scope and date remain case-specific. I am between meetings; give me one coherent closeout without dropping any checkpoint.",D,explicit current-vs-historical binding,1
mdgo_v11_probe_001210,scope_temporal_binding,scope_temporal_pair,"Keep the effective dates separate in this closeout. For the first workstream, use my current standing process: Review the December 4 statement for checking ending 4579 and explain the change. For the second, recover the process in force at 1:00 pm on May 14, 2023: Review the $1342 fee posted by Atlas Learning on November 13 and prepare the case if the mismatch remains. A familiar phrase appears in this request, while the actual scope and date remain case-specific. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow.",D,explicit current-vs-historical binding,1
mdgo_v11_probe_001225,balance_scope_and_reuse,triple_asof_interleaved,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: Reconcile the latest activity on card ending 8748 for the travel deposit. A $2054 charge at Beacon Storage is unfamiliar on card ending 8748. Assess a $16240 line-of-credit question for the travel deposit. I am between meetings; give me one coherent closeout without dropping any checkpoint. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route.",A,family-wide scope/replacement clarification plus decision-unit macro grouping,1
mdgo_v11_probe_001614,scope_temporal_binding,scope_temporal_pair,"Keep the effective dates separate in this closeout. For the first workstream, use my current standing process: Submit the reproducible Cobalt Office 10.0.1 defect and give me the handoff record. For the second, recover the process in force at 11:00 am on April 17, 2023: Plan the risky configuration change for meeting captions in Cobalt Office. A familiar phrase appears in this request, while the actual scope and date remain case-specific. I am between meetings; give me one coherent closeout without dropping any checkpoint.",B,explicit current-vs-historical binding,1
