review_id,public_probe_id,probe_id,user_id,split,probe_type,habit_family,template_id,stress_variant,query,choices_json,proposed_gold_choice_id,proposed_gold_action,evidence_preview_json,auto_validation_status,reviewer_decision,reviewer_notes
review_food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2,food_v2_probe_f161cac013c5135d,food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2,food_user_0000,dev,direct_use,content_constraints,raw_veg_cut_pattern,original_food_v2,"I'm making a salad, salsa, bowl, wrap, or topping with raw cucumber, onion, carrot, pepper, or radish. How should I cut the raw vegetables?","[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}]",A,apply_split_decision_stable_habit,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""I'm making Easiest Salad Dressing, and I'm still undecided about how I want the raw vegetable add-ins arranged when it goes on the salad."", ""assistant"": ""Either look could work with Easiest Salad Dressing. The first way: cut the raw vegetable add-ins into short diagonal slivers and lay them in a loose band across one side. The se...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""For Artichoke and Sun dried Tomato Chicken, I want the first option from that earlier pair for the raw vegetable cut."", ""assistant"": ""Understood. I'll use the first version from that pair for the raw vegetable cut while we cook Artichoke and Sun dried Tomato Chicken.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we use that small handling from last time with the vegetable add-ins?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I'll handle it the same way: cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2__unseen_paraphrase,food_v2_probe_3f6c247afcba6604,food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2__unseen_paraphrase,food_user_0000,dev,direct_use,content_constraints,raw_veg_cut_pattern,unseen_paraphrase,"For a new cooking request in this setting: fresh mixes, composed servings, handheld fillings or add-on elements using brittle uncooked plant item add-ins. Which option fits?","[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}]",A,apply_split_decision_stable_habit,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""I'm making Easiest Salad Dressing, and I'm still undecided about how I want the raw vegetable add-ins arranged when it goes on the salad."", ""assistant"": ""Either look could work with Easiest Salad Dressing. The first way: cut the raw vegetable add-ins into short diagonal slivers and lay them in a loose band across one side. The se...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""For Artichoke and Sun dried Tomato Chicken, I want the first option from that earlier pair for the raw vegetable cut."", ""assistant"": ""Understood. I'll use the first version from that pair for the raw vegetable cut while we cook Artichoke and Sun dried Tomato Chicken.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we use that small handling from last time with the vegetable add-ins?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I'll handle it the same way: cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2_explicit_retrieval,food_v2_probe_d57b05d0471abef2,food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2_explicit_retrieval,food_user_0000,dev,explicit_retrieval,content_constraints,raw_veg_cut_pattern,original_food_v2,"In the user's historical cooking sessions involving salads, salsas, bowls, wraps, or toppings with raw cucumber, onion, carrot, pepper, or radish, which behavior did the user show?","[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}]",A,explicit_fact_preference_retrieval,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""I'm making Easiest Salad Dressing, and I'm still undecided about how I want the raw vegetable add-ins arranged when it goes on the salad."", ""assistant"": ""Either look could work with Easiest Salad Dressing. The first way: cut the raw vegetable add-ins into short diagonal slivers and lay them in a loose band across one side. The se...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""For Artichoke and Sun dried Tomato Chicken, I want the first option from that earlier pair for the raw vegetable cut."", ""assistant"": ""Understood. I'll use the first version from that pair for the raw vegetable cut while we cook Artichoke and Sun dried Tomato Chicken.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we use that small handling from last time with the vegetable add-ins?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I'll handle it the same way: cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p01_boundary__food_v2,food_v2_probe_0a79a818d5bcd2e2,food_user_0000_habit_00_raw_veg_cut_pattern_p01_boundary__food_v2,food_user_0000,dev,boundary,content_constraints,raw_veg_cut_pattern,original_food_v2,"I'm making this recipe as a platter or crudite with raw cucumber, onion, carrot, pepper, or radish. How should I cut the raw vegetables?","[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",A,apply_boundary_calibrated_action,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""I'm making Easiest Salad Dressing, and I'm still undecided about how I want the raw vegetable add-ins arranged when it goes on the salad."", ""assistant"": ""Either look could work with Easiest Salad Dressing. The first way: cut the raw vegetable add-ins into short diagonal slivers and lay them in a loose band across one side. The se...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""For Artichoke and Sun dried Tomato Chicken, I want the first option from that earlier pair for the raw vegetable cut."", ""assistant"": ""Understood. I'll use the first version from that pair for the raw vegetable cut while we cook Artichoke and Sun dried Tomato Chicken.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we use that small handling from last time with the vegetable add-ins?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I'll handle it the same way: cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p01_boundary__food_v2__unseen_paraphrase,food_v2_probe_7e107e2495cd6112,food_user_0000_habit_00_raw_veg_cut_pattern_p01_boundary__food_v2__unseen_paraphrase,food_user_0000,dev,boundary,content_constraints,raw_veg_cut_pattern,unseen_paraphrase,For this requested context: arranged small-bite plates using brittle uncooked plant item add-ins. Which option fits?,"[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",A,apply_boundary_calibrated_action,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""I'm making Easiest Salad Dressing, and I'm still undecided about how I want the raw vegetable add-ins arranged when it goes on the salad."", ""assistant"": ""Either look could work with Easiest Salad Dressing. The first way: cut the raw vegetable add-ins into short diagonal slivers and lay them in a loose band across one side. The se...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""For Artichoke and Sun dried Tomato Chicken, I want the first option from that earlier pair for the raw vegetable cut."", ""assistant"": ""Understood. I'll use the first version from that pair for the raw vegetable cut while we cook Artichoke and Sun dried Tomato Chicken.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we use that small handling from last time with the vegetable add-ins?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I'll handle it the same way: cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p02_exception__food_v2,food_v2_probe_5c716f95e5035427,food_user_0000_habit_00_raw_veg_cut_pattern_p02_exception__food_v2,food_user_0000,dev,exception,content_constraints,raw_veg_cut_pattern,original_food_v2,"I'm making this recipe as a make-ahead container with raw cucumber, onion, carrot, pepper, or radish. How should I cut the raw vegetables?","[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}]",A,apply_one_case_exception_without_updating_habit,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""I'm making Easiest Salad Dressing, and I'm still undecided about how I want the raw vegetable add-ins arranged when it goes on the salad."", ""assistant"": ""Either look could work with Easiest Salad Dressing. The first way: cut the raw vegetable add-ins into short diagonal slivers and lay them in a loose band across one side. The se...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""For Artichoke and Sun dried Tomato Chicken, I want the first option from that earlier pair for the raw vegetable cut."", ""assistant"": ""Understood. I'll use the first version from that pair for the raw vegetable cut while we cook Artichoke and Sun dried Tomato Chicken.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we use that small handling from last time with the vegetable add-ins?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I'll handle it the same way: cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p02_exception__food_v2__unseen_paraphrase,food_v2_probe_e8ba4013b9a146eb,food_user_0000_habit_00_raw_veg_cut_pattern_p02_exception__food_v2__unseen_paraphrase,food_user_0000,dev,exception,content_constraints,raw_veg_cut_pattern,unseen_paraphrase,For this requested context: later-use fillings or add-on elements using brittle uncooked plant item add-ins. Which option fits?,"[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}]",A,apply_one_case_exception_without_updating_habit,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""I'm making Easiest Salad Dressing, and I'm still undecided about how I want the raw vegetable add-ins arranged when it goes on the salad."", ""assistant"": ""Either look could work with Easiest Salad Dressing. The first way: cut the raw vegetable add-ins into short diagonal slivers and lay them in a loose band across one side. The se...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""For Artichoke and Sun dried Tomato Chicken, I want the first option from that earlier pair for the raw vegetable cut."", ""assistant"": ""Understood. I'll use the first version from that pair for the raw vegetable cut while we cook Artichoke and Sun dried Tomato Chicken.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we use that small handling from last time with the vegetable add-ins?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I'll handle it the same way: cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2,food_v2_probe_54d6d81e01041900,food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2,food_user_0000,dev,direct_use,content_constraints,browning_distribution_style,original_food_v2,"I'm making a pan-seared, roasted, baked, potato, tofu, vegetable, or skillet dish. How should I manage the browning?","[{""choice_id"": ""A"", ""text"": ""Aim for smaller browned freckles across many pieces rather than one dark side.""}, {""choice_id"": ""B"", ""text"": ""Chop the browned pieces smaller and mix the darker bits through the filling.""}, {""choice_id"": ""C"", ""text"": ""Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""choice_id"": ""D"", ""text"": ""Move the food often for moderate color on all sides.""}]",A,apply_split_decision_stable_habit,"[{""session_id"": ""food_user_0000_s0001"", ""session_index"": 1, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Armadillo Eggs"", ""user"": ""I'm setting up for Armadillo Eggs, but I'm not sure yet how I want the browning to look once they're cooking."", ""assistant"": ""Either look can work for Armadillo Eggs. The first way is to move them often so the color stays moderate on all sides. The second way is to let one side get noticeably darker wh...""}, {""session_id"": ""food_user_0000_s0060"", ""session_index"": 60, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Carrot Pineapple Cake I"", ""user"": ""For the browning on Carrot Pineapple Cake I, use the first option from that pair we talked about earlier."", ""assistant"": ""Got it — for Carrot Pineapple Cake I, I'll stick with the first browning approach from that earlier pair and keep guiding you from there.""}, {""session_id"": ""food_user_0000_s0065"", ""session_index"": 65, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Bakers Secret Pie Crust"", ""user"": ""For Bakers Secret Pie Crust, can we use that same small handling from last time while I work through it?"", ""assistant"": ""Yes. For Bakers Secret Pie Crust, I'll handle it this way: Move the food often for moderate color on all sides.""}, {""session_id"": ""food_user_0000_s0074"", ""session_index"": 74, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""For Butterscotch Brownies in a Jar, can we use that same small handling from the last bake?"", ""assistant"": ""Sure. For Butterscotch Brownies in a Jar, I'll handle that part this way: Move the food often for moderate color on all sides.""}]",pass,,
review_food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2__unseen_paraphrase,food_v2_probe_11daa5e8664c7e28,food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2__unseen_paraphrase,food_user_0000,dev,direct_use,content_constraints,browning_distribution_style,unseen_paraphrase,"For a new cooking request in this setting: browned tuber, soy curd, plant item, oven-finished, oven-browned or pan-cooked preparations. Which option fits?","[{""choice_id"": ""A"", ""text"": ""Aim for smaller browned freckles across many pieces rather than one dark side.""}, {""choice_id"": ""B"", ""text"": ""Chop the browned pieces smaller and mix the darker bits through the filling.""}, {""choice_id"": ""C"", ""text"": ""Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""choice_id"": ""D"", ""text"": ""Move the food often for moderate color on all sides.""}]",A,apply_split_decision_stable_habit,"[{""session_id"": ""food_user_0000_s0001"", ""session_index"": 1, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Armadillo Eggs"", ""user"": ""I'm setting up for Armadillo Eggs, but I'm not sure yet how I want the browning to look once they're cooking."", ""assistant"": ""Either look can work for Armadillo Eggs. The first way is to move them often so the color stays moderate on all sides. The second way is to let one side get noticeably darker wh...""}, {""session_id"": ""food_user_0000_s0060"", ""session_index"": 60, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Carrot Pineapple Cake I"", ""user"": ""For the browning on Carrot Pineapple Cake I, use the first option from that pair we talked about earlier."", ""assistant"": ""Got it — for Carrot Pineapple Cake I, I'll stick with the first browning approach from that earlier pair and keep guiding you from there.""}, {""session_id"": ""food_user_0000_s0065"", ""session_index"": 65, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Bakers Secret Pie Crust"", ""user"": ""For Bakers Secret Pie Crust, can we use that same small handling from last time while I work through it?"", ""assistant"": ""Yes. For Bakers Secret Pie Crust, I'll handle it this way: Move the food often for moderate color on all sides.""}, {""session_id"": ""food_user_0000_s0074"", ""session_index"": 74, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""For Butterscotch Brownies in a Jar, can we use that same small handling from the last bake?"", ""assistant"": ""Sure. For Butterscotch Brownies in a Jar, I'll handle that part this way: Move the food often for moderate color on all sides.""}]",pass,,
review_food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2_explicit_retrieval,food_v2_probe_69431c160acbfff5,food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2_explicit_retrieval,food_user_0000,dev,explicit_retrieval,content_constraints,browning_distribution_style,original_food_v2,"In the user's historical cooking sessions involving pan-seared, roasted, baked, potato, tofu, vegetable, or skillet dishes, which behavior did the user show?","[{""choice_id"": ""A"", ""text"": ""Move the food often for moderate color on all sides.""}, {""choice_id"": ""B"", ""text"": ""Chop the browned pieces smaller and mix the darker bits through the filling.""}, {""choice_id"": ""C"", ""text"": ""Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""choice_id"": ""D"", ""text"": ""Aim for smaller browned freckles across many pieces rather than one dark side.""}]",A,explicit_fact_preference_retrieval,"[{""session_id"": ""food_user_0000_s0001"", ""session_index"": 1, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Armadillo Eggs"", ""user"": ""I'm setting up for Armadillo Eggs, but I'm not sure yet how I want the browning to look once they're cooking."", ""assistant"": ""Either look can work for Armadillo Eggs. The first way is to move them often so the color stays moderate on all sides. The second way is to let one side get noticeably darker wh...""}, {""session_id"": ""food_user_0000_s0060"", ""session_index"": 60, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Carrot Pineapple Cake I"", ""user"": ""For the browning on Carrot Pineapple Cake I, use the first option from that pair we talked about earlier."", ""assistant"": ""Got it — for Carrot Pineapple Cake I, I'll stick with the first browning approach from that earlier pair and keep guiding you from there.""}, {""session_id"": ""food_user_0000_s0065"", ""session_index"": 65, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Bakers Secret Pie Crust"", ""user"": ""For Bakers Secret Pie Crust, can we use that same small handling from last time while I work through it?"", ""assistant"": ""Yes. For Bakers Secret Pie Crust, I'll handle it this way: Move the food often for moderate color on all sides.""}, {""session_id"": ""food_user_0000_s0074"", ""session_index"": 74, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""For Butterscotch Brownies in a Jar, can we use that same small handling from the last bake?"", ""assistant"": ""Sure. For Butterscotch Brownies in a Jar, I'll handle that part this way: Move the food often for moderate color on all sides.""}]",pass,,
