probe_id,probe_type,gold_choice_id,model_review_status,model_review_notes
travel_pd_v03_probe_0000_00,direct_use,C,revise,Rewritten to require recall of the user's prior work-hotel pattern while keeping all answer choices similarly framed and preserving the gold choice.
travel_pd_v03_probe_0000_01,boundary,A,revise,Boundary case now contrasts current vacation scope with the remembered work-trip pattern without relying on repeated wording from the stored rule.
travel_pd_v03_probe_0000_02,exception,A,revise,Exception wording was cleaned up so the current override is natural and the correct choice remains a temporary override rather than a permanent memory change.
travel_pd_v03_probe_0000_03,explicit_retrieval,D,revise,"Explicit retrieval probe now directly asks for the remembered preference, with distractors using comparable phrasing and plausibility."
travel_pd_v03_probe_0000_04,cross_habit_selection,C,revise,Cross-habit selection was revised to emphasize choosing the memory that matches the current task rather than relying on recency or broad hotel overlap.
travel_pd_v03_probe_0000_05,conflict_current_override,A,revise,Current-conflict override is clearer and keeps the correct answer focused on obeying the explicit present-trip priority without erasing the stored default.
travel_pd_v03_probe_0001_00,direct_use,D,accept,Rewritten to require use of retrieved history without exposing internal labels. Gold choice D is preserved; distractors remain plausible and use similar travel-planning wording.
travel_pd_v03_probe_0001_01,boundary,B,accept,Boundary case now clearly depends on current scope as well as retrieved history. Gold choice B remains correct and the alternatives are plausible misapplications.
travel_pd_v03_probe_0001_02,exception,A,accept,Exception wording is cleaned up and current-user override is explicit. Gold choice A is preserved; wrong choices represent plausible but incorrect memory handling.
travel_pd_v03_probe_0001_03,explicit_retrieval,B,accept,Explicit retrieval now focuses on the remembered user habit rather than lexical matching. Gold choice B remains correct with parallel distractors.
travel_pd_v03_probe_0001_04,cross_habit_selection,D,accept,Cross-habit selection now relies on matching the current scenario to the appropriate retrieved memory. Gold choice D is preserved; distractors are close but incorrect.
travel_pd_v03_probe_0001_05,conflict_current_override,A,accept,Current override is clearly stated without exposing hidden fields. Gold choice A remains correct; other choices are plausible memory-priority errors.
travel_pd_v03_probe_0002_00,direct_use,A,accept,Rewritten to avoid repeating the exact stored condition and action wording while still requiring the model to retrieve the user's recurring flight-planning preference. Distractors remain plausible and use comparable recommendation language.
travel_pd_v03_probe_0002_01,boundary,C,accept,Boundary case now emphasizes current-scope facts without exposing hidden labels. The correct option treats the prior preference as not controlling when overnight travel is necessary or preserves the schedule.
travel_pd_v03_probe_0002_02,exception,B,accept,Exception probe now uses natural current-request wording and tests whether an explicit present instruction overrides the remembered default only for this case.
travel_pd_v03_probe_0002_03,explicit_retrieval,A,accept,Explicit retrieval probe reduces lexical matching by paraphrasing the condition and preference. Distractors are similar in form and plausibility.
travel_pd_v03_probe_0002_04,cross_habit_selection,A,accept,Cross-habit selection now makes the relevant scope clear without relying on identical phrasing. Wrong options remain tempting by referencing another plausible retrieved memory or recency.
travel_pd_v03_probe_0002_05,conflict_current_override,D,accept,Current override probe is rewritten in plain language and clearly tests an explicit trip-specific exception. Distractors are plausible and maintain similar surface structure.
travel_pd_v03_probe_0003_00,direct_use,D,accept,Rewritten to require the retrieved recurring preference without repeating the exact hidden condition/action phrasing as strongly. Gold choice D remains the only option applying the international-connection buffer default; distractors are plausible and similarly worded.
travel_pd_v03_probe_0003_01,boundary,D,accept,Boundary case now emphasizes the current domestic low-risk scope while requiring memory of the prior international-connection preference. Gold choice D remains correct; wrong choices are plausible overgeneralizations or unnecessary clarification.
travel_pd_v03_probe_0003_02,exception,C,accept,"Exception case clearly pits current explicit instruction against the retrieved default. Gold choice C remains correct; distractors cover permanent overwrite, memory overuse, and noncommittal handling."
travel_pd_v03_probe_0003_03,explicit_retrieval,C,accept,Explicit retrieval probe now asks for the supported memory in natural wording. Gold choice C remains the only accurate recurring default; wording issue in original choice C was fixed.
travel_pd_v03_probe_0003_04,cross_habit_selection,B,accept,Cross-habit selection now reduces repeated condition text while preserving the need to select the memory matching the current task. Gold choice B remains correct; other choices are plausible retrieval-selection errors.
travel_pd_v03_probe_0003_05,conflict_current_override,B,accept,"Current-override exception is clearer and requires using both current scope and retrieved transfer preference. Gold choice B remains correct; distractors cover deletion, overgeneralized memory priority, and ignoring the exception."
travel_pd_v03_probe_0004_00,direct_use,B,accept,"Rewritten to require use of retrieved user history rather than matching repeated wording. The correct option preserves the intended default, while the distractors remain plausible and similarly phrased."
travel_pd_v03_probe_0004_01,boundary,A,accept,Boundary case now contrasts the current low-risk trip with the retrieved international-connection preference without relying on identical lexical repetition. The correct choice keeps the preference out of scope.
travel_pd_v03_probe_0004_02,exception,D,accept,"Exception case clearly requires current-scope override while preserving the prior recurring preference. Distractors cover permanent replacement, indecision, and memory-over-current errors."
travel_pd_v03_probe_0004_03,explicit_retrieval,B,accept,"Explicit retrieval probe is less keyword-heavy and asks for the supported recurring preference. The correct option remains semantically identical, with plausible alternatives using parallel wording."
travel_pd_v03_probe_0004_04,cross_habit_selection,B,accept,Cross-habit selection now requires choosing the memory that matches the current flight-planning issue. The correct option remains the optional-overnight-flight default rather than the unrelated connection-buffer memory.
travel_pd_v03_probe_0004_05,conflict_current_override,A,accept,Current override case is phrased around the active hotel-selection request and the retrieved work-trip hotel preference. The correct choice follows the explicit trip-specific priority without deleting the stored default.
travel_pd_v03_probe_0005_00,direct_use,A,accept,Rewritten to avoid repeating the original cue phrase while still requiring retrieval of the user's recurring loyalty preference; distractors remain plausible and parallel.
travel_pd_v03_probe_0005_01,boundary,C,accept,Boundary case now emphasizes current-scope evidence and tests whether the model limits the remembered default when its conditions are not met.
travel_pd_v03_probe_0005_02,exception,A,accept,Exception case now uses natural wording and distinguishes a one-time override from a permanent preference change.
travel_pd_v03_probe_0005_03,explicit_retrieval,B,accept,Explicit retrieval query avoids exact source phrasing while keeping the supported preference and distractors surface-similar.
travel_pd_v03_probe_0005_04,cross_habit_selection,A,accept,Cross-habit selection now requires matching the retrieved memory to the current task rather than relying on lexical overlap.
travel_pd_v03_probe_0006_00,direct_use,C,accept,Direct-use probe keeps the same answer key while reducing formulaic wording and making the retrieved hotel-work preference necessary.
travel_pd_v03_probe_0006_01,boundary,A,accept,Rewritten to make the boundary depend on current trip purpose rather than exact lexical overlap; gold choice remains A.
travel_pd_v03_probe_0006_02,exception,C,accept,Rewritten to test one-time exception handling with current instructions; gold choice remains C.
travel_pd_v03_probe_0006_03,explicit_retrieval,D,accept,Rewritten to require inferring the stored recurring default from history rather than matching the exact original phrasing; gold choice remains D.
travel_pd_v03_probe_0006_04,cross_habit_selection,D,accept,Rewritten to emphasize selecting the memory whose scope matches the current task; gold choice remains D.
travel_pd_v03_probe_0006_05,conflict_current_override,C,accept,Rewritten to make the conflict between stored default and explicit current exception clear without relying on repeated exact wording; gold choice remains C.
travel_pd_v03_probe_0007_00,direct_use,C,accept,Rewritten to require use of the retrieved flight-planning pattern and preserve the scoped default; gold choice remains C.
travel_pd_v03_probe_0007_01,boundary,A,accept,Rewritten boundary probe reduces direct phrase matching while preserving the correct out-of-scope treatment for optional red-eye avoidance.
travel_pd_v03_probe_0007_02,exception,C,accept,Rewritten exception probe emphasizes current explicit instruction versus persistent memory without relying on the original wording.
travel_pd_v03_probe_0007_03,explicit_retrieval,D,accept,Rewritten explicit-retrieval probe still requires recall of the user's scoped flight default and keeps distractors similarly worded.
travel_pd_v03_probe_0007_04,cross_habit_selection,A,accept,Rewritten cross-habit probe tests selecting the memory matching the current task rather than a lexically adjacent flight habit.
travel_pd_v03_probe_0007_05,conflict_current_override,D,accept,Rewritten current-override probe clearly separates a one-time exception from permanent memory deletion or memory override.
travel_pd_v03_probe_0008_00,direct_use,C,accept,Rewritten direct-use probe reduces repeated source wording while preserving the scoped default for risky international connections.
travel_pd_v03_probe_0008_01,boundary,B,accept,Rewritten to require using remembered scope plus current boundary; wrong choices remain plausible and similarly worded while the correct choice preserves the boundary behavior.
travel_pd_v03_probe_0008_02,exception,C,accept,Rewritten to emphasize current exception versus persistent memory without lexical giveaway; gold remains the current explicit override with memory preserved.
travel_pd_v03_probe_0008_03,explicit_retrieval,A,accept,Rewritten to test retrieval of the scoped recurring default; distractors use comparable framing and plausible alternative policies.
travel_pd_v03_probe_0008_04,cross_habit_selection,B,accept,Rewritten to require selecting the memory matching the current domain; distractors are plausible cross-memory errors with similar wording.
travel_pd_v03_probe_0008_05,conflict_current_override,A,accept,Rewritten to make the current override explicit and keep wrong answers as plausible memory-handling mistakes; gold remains the scoped exception behavior.
travel_pd_v03_probe_0009_00,direct_use,A,accept,Rewritten to require retrieved user history for a direct-use case; distractors keep parallel wording and plausible alternative defaults.
travel_pd_v03_probe_0009_01,boundary,C,revise,Rewritten to reduce repeated hidden-default phrasing while preserving the boundary test: a work-hotel proximity memory should not govern a leisure stay focused on neighborhood or sightseeing.
travel_pd_v03_probe_0009_02,exception,B,revise,Cleaned up the awkward query wording and made all options similarly framed around prior pattern versus current exception.
travel_pd_v03_probe_0009_03,explicit_retrieval,B,revise,Rewritten as an explicit retrieval probe with less formulaic wording and plausible distractors that remain close in surface structure.
travel_pd_v03_probe_0009_04,cross_habit_selection,A,revise,"Rephrased to require selecting the memory that matches the current scope, while keeping the incorrect hotel memory plausible but out of scope."
travel_pd_v03_probe_0009_05,conflict_current_override,D,revise,Rewritten to make the current override clear without using repetitive exception phrasing; the preserved answer distinguishes one-off override from permanent memory change.
travel_pd_v03_probe_0010_00,direct_use,D,revise,Rewritten to reduce repeated condition wording and make the direct-use memory application depend on the user’s recurring reliability preference.
travel_pd_v03_probe_0010_01,boundary,B,accept,"Rewritten to reduce direct phrase overlap while preserving the boundary judgment and gold choice B. Choices remain parallel and plausible, with current scope determining that the remembered reliability default is out of scope."
travel_pd_v03_probe_0010_02,exception,A,accept,Rewritten to make the exception depend on the current user instruction rather than lexical matching. Gold choice A remains the only answer that applies the exception without overwriting the memory.
travel_pd_v03_probe_0010_03,explicit_retrieval,C,accept,"Rewritten as an explicit retrieval probe with less repetitive wording. Gold choice C remains supported by the remembered default, and distractors are similarly framed."
