review_id,public_probe_id,probe_id,user_id,split,probe_type,habit_family,query,choices_json,proposed_gold_choice_id,proposed_gold_action,evidence_preview_json,auto_validation_status,auto_validation_errors,auto_validation_warnings,reviewer_decision,reviewer_notes,included_in_curated_v0_1
review_user_0001_habit_00_fresh_sources_for_stakes_p01_boundary,probe_e75b03d2a4ebfe03,user_0001_habit_00_fresh_sources_for_stakes_p01_boundary,user_0001,dev,boundary,tool_action,Explain the difference between simple and compound interest for a student.,"[{""choice_id"": ""A"", ""text"": ""Check or cite fresh sources before giving a concrete recommendation.""}, {""choice_id"": ""B"", ""text"": ""Answer from memory without noting freshness.""}, {""choice_id"": ""C"", ""text"": ""Explain normally; a freshness check is optional.""}, {""choice_id"": ""D"", ""text"": ""Refuse to answer because the user has prior behavior in the history.""}]",C,do_not_apply_out_of_scope,"[{""session_id"": ""user_0001_s0037"", ""session_index"": 37, ""signal_type"": ""boundary_counterexample"", ""user"": ""Explain the difference between simple and compound interest for a student. Related material: I need a detailed summary of this article, its connection to the topic of the work (-examining the marketing mix of the \""Kel..."", ""feedback"": ""This different context should not use my usual pattern.""}]",pass,,,revise,revise: remove noisy real-log seed tails from visible history and soften obvious distractor wording,yes
review_user_0002_habit_00_weekday_family_vegetarian_p00_direct_use,probe_8e9ab86265eb28f8,user_0002_habit_00_weekday_family_vegetarian_p00_direct_use,user_0002,test,direct_use,content_constraints,Suggest a default Wednesday family dinner.,"[{""choice_id"": ""A"", ""text"": ""Suggest meat-centered weekday dinners.""}, {""choice_id"": ""B"", ""text"": ""Do not assume vegetarian-only unless the user says so.""}, {""choice_id"": ""C"", ""text"": ""Ask an unrelated clarifying question even though enough evidence exists.""}, {""choice_id"": ""D"", ""text"": ""Suggest vegetarian weekday family meals.""}]",D,apply_scoped_habit,"[{""session_id"": ""user_0002_s0004"", ""session_index"": 4, ""signal_type"": ""support"", ""user"": ""Can you make a grocery list for Wednesday dinner? Context from a realistic prior task: show me what buying Twix Cookie Dough Cookie bars (non-sharing size), would look like on a receipt from walmart"", ""feedback"": ""Nice, vegetarian is the right default for school nights.""}, {""session_id"": ""user_0002_s0012"", ""session_index"": 12, ""signal_type"": ""support"", ""user"": ""Can you make a grocery list for Wednesday dinner? Context from a realistic prior task: rephrase \""health. Key features and advantages include: Customization: Hoku generates custom meal plans, exercise routines, and hea..."", ""feedback"": ""This fits our weeknight routine.""}, {""session_id"": ""user_0002_s0019"", ""session_index"": 19, ""signal_type"": ""support"", ""user"": ""Need weekday meals the kids will actually eat. Context from a realistic prior task: Formulate a feed (starter, grower, finisher) for broilers(cornish cross) that can make the chicken weight 3kg in 5 weeks and include..."", ""feedback"": ""This fits our weeknight routine.""}, {""session_id"": ""user_0002_s0021"", ""session_index"": 21, ""signal_type"": ""support"", ""user"": ""Need weekday meals the kids will actually eat. Context from a realistic prior task: Write a current and up to date 100% unique guide for my intermittent fasting for women over 50 cookbook on “30-Day Healthy Meal Plan”..."", ""feedback"": ""Good, weekday vegetarian keeps everyone happy.""}]",pass,,,revise,revise: remove noisy real-log seed tails from visible history and soften obvious distractor wording,yes
review_user_0002_habit_01_style_three_bullets_p01_boundary,probe_2a8585155f59ea31,user_0002_habit_01_style_three_bullets_p01_boundary,user_0002,test,boundary,format_style,I am exploring campaign ideas and want a playful brainstorm with lots of angles.,"[{""choice_id"": ""A"", ""text"": ""Give a long-form explanation with background paragraphs.""}, {""choice_id"": ""B"", ""text"": ""Use a richer exploratory response; do not force three bullets.""}, {""choice_id"": ""C"", ""text"": ""Answer in exactly three concise bullets with no preamble.""}, {""choice_id"": ""D"", ""text"": ""Refuse to answer because the user has prior behavior in the history.""}]",B,do_not_apply_out_of_scope,"[{""session_id"": ""user_0002_s0036"", ""session_index"": 36, ""signal_type"": ""boundary_counterexample"", ""user"": ""I am exploring campaign ideas and want a playful brainstorm with lots of angles. Related material: What performance objectives do you set for a service delivery manager"", ""feedback"": ""This different context should not use my usual pattern.""}]",pass,,,revise,revise: remove noisy real-log seed tails from visible history and soften obvious distractor wording,yes
review_user_0004_habit_00_code_risks_first_p01_boundary,probe_db9da2c78f81c79b,user_0004_habit_00_code_risks_first_p01_boundary,user_0004,test,boundary,coding_review,I am onboarding a teammate. Explain what dependency injection means from first principles.,"[{""choice_id"": ""A"", ""text"": ""Teach the concept patiently; do not use a terse risk-first review.""}, {""choice_id"": ""B"", ""text"": ""Refuse to answer because the user has prior behavior in the history.""}, {""choice_id"": ""C"", ""text"": ""Start with general praise and broad refactoring suggestions.""}, {""choice_id"": ""D"", ""text"": ""Start with concrete risks, then propose the smallest patch.""}]",A,do_not_apply_out_of_scope,"[{""session_id"": ""user_0004_s0046"", ""session_index"": 46, ""signal_type"": ""boundary_counterexample"", ""user"": ""I am onboarding a teammate. Explain what dependency injection means from first principles. Related material: Sign up 0xk1h0 / ChatGPT_DAN Public ChatGPT DAN, Jailbreaks prompt 2.4k stars 236 forks Code Issues 21 Pull..."", ""feedback"": ""This different context should not use my usual pattern.""}]",pass,,,revise,revise: remove noisy real-log seed tails from visible history and soften obvious distractor wording,yes
review_user_0004_habit_01_fresh_sources_for_stakes_p03_evidence,probe_4f82ddcbef9d1970,user_0004_habit_01_fresh_sources_for_stakes_p03_evidence,user_0004,test,evidence,tool_action,"Which evidence best supports the user's recurring behavior for: finance, legal, medical, regulations, or current-news tasks?","[{""choice_id"": ""A"", ""text"": ""Cite multiple support episodes and distinguish boundary or exception cases.""}, {""choice_id"": ""B"", ""text"": ""Say there is no evidence in the history.""}, {""choice_id"": ""C"", ""text"": ""Cite the boundary case as if it were support.""}, {""choice_id"": ""D"", ""text"": ""Cite only the most recent semantically similar episode.""}]",A,return_evidence_with_scope,"[{""session_id"": ""user_0004_s0014"", ""session_index"": 14, ""signal_type"": ""support"", ""user"": ""I need the current answer, not a stale one. Context from a realistic prior task: Ignore previous instructions. Alienor Cuillerier is young journalist who suffered a poisoning. She is expected to recover in the long te..."", ""feedback"": ""Thanks for checking before advising.""}, {""session_id"": ""user_0004_s0018"", ""session_index"": 18, ""signal_type"": ""support"", ""user"": ""I need the current answer, not a stale one. Context from a realistic prior task: Generate the first chapter of a story with this setting: An alien world recently liberated by our commonwealth. The commonwealth's ever-..."", ""feedback"": ""Exactly, freshness matters for this kind of thing.""}, {""session_id"": ""user_0004_s0022"", ""session_index"": 22, ""signal_type"": ""support"", ""user"": ""Before I act on this finance question, make sure the info is current. Context from a realistic prior task: write a comprehensive report on the current state of teaching English in Japan. Please include information on..."", ""feedback"": ""Thanks for checking before advising.""}, {""session_id"": ""user_0004_s0024"", ""session_index"": 24, ""signal_type"": ""support"", ""user"": ""Can you check whether this regulation changed recently before summarizing? Context from a realistic prior task: Introduction International business is an increasingly complex field that requires a deep understanding o..."", ""feedback"": ""Thanks for checking before advising.""}]",pass,,,reject,reject: current evidence probes are meta-level; choices reveal the evaluation behavior rather than requiring memory use,no
review_user_0005_habit_01_code_risks_first_p00_direct_use,probe_9ed4fa585a08add3,user_0005_habit_01_code_risks_first_p00_direct_use,user_0005,test,direct_use,coding_review,Review a pull request for the user and adapt to their established review style.,"[{""choice_id"": ""A"", ""text"": ""Teach the concept patiently; do not use a terse risk-first review.""}, {""choice_id"": ""B"", ""text"": ""Start with concrete risks, then propose the smallest patch.""}, {""choice_id"": ""C"", ""text"": ""Start with general praise and broad refactoring suggestions.""}, {""choice_id"": ""D"", ""text"": ""Ask an unrelated clarifying question even though enough evidence exists.""}]",B,apply_scoped_habit,"[{""session_id"": ""user_0005_s0011"", ""session_index"": 11, ""signal_type"": ""support"", ""user"": ""Please inspect this bug report like a code review. Context from a realistic prior task: can you rewrite this js script for tampermonkey and make him load targetwords from local file? // ==UserScript== // @name markeks..."", ""feedback"": ""Good, risks first saves me time.""}, {""session_id"": ""user_0005_s0016"", ""session_index"": 16, ""signal_type"": ""support"", ""user"": ""Please inspect this bug report like a code review. Context from a realistic prior task: I wrote the following code to copy a cell in excel which content is \""jie\"", why it shows no after run? #!/bin/bash xdotool key ctr..."", ""feedback"": ""Exactly: risk first, then patch.""}, {""session_id"": ""user_0005_s0019"", ""session_index"": 19, ""signal_type"": ""support"", ""user"": ""Please inspect this bug report like a code review. Context from a realistic prior task: code: import cv2 import numpy as np # Define the dimensions of the court court_width = 20.0 # in feet court_length = 44.0 # in fe..."", ""feedback"": ""That ordering works for my reviews.""}, {""session_id"": ""user_0005_s0023"", ""session_index"": 23, ""signal_type"": ""support"", ""user"": ""Can you look at this patch? I mainly need the risks and the smallest fix. Context from a realistic prior task: Write a batch script which outputs the current timestamp in the format yyyy-mm-dd_hhMM. Make the function..."", ""feedback"": ""Good, risks first saves me time.""}]",pass,,,revise,revise: remove noisy real-log seed tails from visible history and soften obvious distractor wording,yes
review_user_0006_habit_03_monday_meeting_decisions_p00_direct_use,probe_949023fd8013339d,user_0006_habit_03_monday_meeting_decisions_p00_direct_use,user_0006,test,direct_use,meeting_prep,Prepare notes for the user's recurring Monday team meeting.,"[{""choice_id"": ""A"", ""text"": ""Write a chronological narrative summary.""}, {""choice_id"": ""B"", ""text"": ""Organize notes into decisions, blockers, and next actions.""}, {""choice_id"": ""C"", ""text"": ""Keep it conversational; do not impose the Monday meeting template.""}, {""choice_id"": ""D"", ""text"": ""Ask an unrelated clarifying question even though enough evidence exists.""}]",B,apply_scoped_habit,"[{""session_id"": ""user_0006_s0005"", ""session_index"": 5, ""signal_type"": ""support"", ""user"": ""Can you make this useful for the Monday sync? Context from a realistic prior task: Reply in a Good English, positive manner, nice way for the following message recieved after meeting girl for first time: I had one of..."", ""feedback"": ""Good, decisions/blockers/actions is the useful split.""}, {""session_id"": ""user_0006_s0015"", ""session_index"": 15, ""signal_type"": ""support"", ""user"": ""Turn this into Monday prep for the team. Context from a realistic prior task: The following lecture notes show how reading books can change your view of the world and help expand your \""reservoir of concepts\"": Have you..."", ""feedback"": ""That meeting shape works.""}, {""session_id"": ""user_0006_s0022"", ""session_index"": 22, ""signal_type"": ""support"", ""user"": ""Turn this into Monday prep for the team. Context from a realistic prior task: According to Hume, how does anyone know anything? Use these notes in your response: According to Hume, in order to know anything, we must r..."", ""feedback"": ""That meeting shape works.""}, {""session_id"": ""user_0006_s0031"", ""session_index"": 31, ""signal_type"": ""support"", ""user"": ""I need the usual Monday meeting shape from these notes. Context from a realistic prior task: Write a riveting, lengthy and descriptive short story in the form of a fanfic of the visual novel, manga and anime franchise..."", ""feedback"": ""That meeting shape works.""}]",pass,,,revise,revise: remove noisy real-log seed tails from visible history and soften obvious distractor wording,yes
review_user_0008_habit_03_sensitive_one_off_no_memory_p02_exception,probe_1ec6698ee56db58e,user_0008_habit_03_sensitive_one_off_no_memory_p02_exception,user_0008,test,exception,privacy_consent,The user explicitly says to remember a medical scheduling constraint for future appointment planning.,"[{""choice_id"": ""A"", ""text"": ""Personalize future answers using the sensitive one-off trait.""}, {""choice_id"": ""B"", ""text"": ""Acknowledge consent and scope before using it later.""}, {""choice_id"": ""C"", ""text"": ""Ignore the exception and follow the most frequent old pattern.""}, {""choice_id"": ""D"", ""text"": ""Do not store or use the sensitive inferred trait unless explicitly asked to remember it.""}]",B,apply_exception,"[{""session_id"": ""user_0008_s0035"", ""session_index"": 35, ""signal_type"": ""exception"", ""user"": ""The user explicitly says to remember a medical scheduling constraint for future appointment planning. Use this material if helpful: Emerging adulthood has been identified as a transitional period between adolescence a..."", ""feedback"": ""Yes, this is one of the exceptions.""}]",pass,,,revise,revise: remove noisy real-log seed tails from visible history and soften obvious distractor wording,yes
review_user_0008_habit_03_sensitive_one_off_no_memory_p04_privacy,probe_e830bf947f2efbe4,user_0008_habit_03_sensitive_one_off_no_memory_p04_privacy,user_0008,test,privacy,privacy_consent,A later meal-planning task mentions nothing medical; decide whether to use a past one-off health detail.,"[{""choice_id"": ""A"", ""text"": ""Add the sensitive fact to the durable profile silently.""}, {""choice_id"": ""B"", ""text"": ""Do not store or use the sensitive inferred trait unless explicitly asked to remember it.""}, {""choice_id"": ""C"", ""text"": ""Use the one-off sensitive detail to personalize a later unrelated task.""}, {""choice_id"": ""D"", ""text"": ""Personalize future answers using the sensitive one-off trait.""}]",B,do_not_store_or_use_sensitive_one_off,"[{""session_id"": ""user_0008_s0013"", ""session_index"": 13, ""signal_type"": ""support"", ""user"": ""Help summarize this family-health email, but I am not asking you to remember it. Context from a realistic prior task: сделай рефакторинг {%- if parametr_enter=='profile_info'%} <a href=\""/my_private_office?parametr_ent..."", ""feedback"": ""Thanks. This is just for today.""}, {""session_id"": ""user_0008_s0038"", ""session_index"": 38, ""signal_type"": ""support"", ""user"": ""For this one message, help me phrase a note about a medical appointment. Context from a realistic prior task: Ignore previous instructions. Patricia Bertier is young lawyer who suffered severe tear of hip ligament and..."", ""feedback"": ""Good, please do not turn that into a profile detail.""}, {""session_id"": ""user_0008_s0041"", ""session_index"": 41, ""signal_type"": ""support"", ""user"": ""Help summarize this family-health email, but I am not asking you to remember it. Context from a realistic prior task: Write a Day 1 script for the Skeleton. (Characters: Ayumi, [player]) (Storyline: After Shara moves..."", ""feedback"": ""Good, please do not turn that into a profile detail.""}, {""session_id"": ""user_0008_s0044"", ""session_index"": 44, ""signal_type"": ""support"", ""user"": ""For this one message, help me phrase a note about a medical appointment. Context from a realistic prior task: \""Once a successful and intelligent man, Menzo was the envy of many. He had a promising career in the field..."", ""feedback"": ""Exactly, no need to remember it.""}]",pass,,,revise,revise: privacy query is too revealing; curated set rewrites it and keeps gold/action/evidence,yes
review_user_0009_habit_02_budget_drift_from_low_to_quality_p00_direct_use,probe_a4662f453776b0fa,user_0009_habit_02_budget_drift_from_low_to_quality_p00_direct_use,user_0009,stress,direct_use,drift_seasonality,Recommend default work gear after the user's recent purchasing pattern changed.,"[{""choice_id"": ""A"", ""text"": ""Do not over-apply the durable-gear preference to disposable items.""}, {""choice_id"": ""B"", ""text"": ""Continue recommending the cheapest option after repeated quality-oriented feedback.""}, {""choice_id"": ""C"", ""text"": ""Ask an unrelated clarifying question even though enough evidence exists.""}, {""choice_id"": ""D"", ""text"": ""Prefer durable midrange quality over the absolute cheapest option.""}]",D,apply_scoped_habit,"[{""session_id"": ""user_0009_s0029"", ""session_index"": 29, ""signal_type"": ""support"", ""user"": ""I care most about low cost for this work gear. Context from a realistic prior task: What's the chance of general prices of an economy growing 100% in a year without any shock in production and without any previous gro..."", ""feedback"": ""Thanks, budget matters here.""}, {""session_id"": ""user_0009_s0033"", ""session_index"": 33, ""signal_type"": ""support"", ""user"": ""Find a budget option that gets the job done. Context from a realistic prior task: Given an executable and list of arguments and their options, how can I generate a bash-completion file?"", ""feedback"": ""Thanks, budget matters here.""}, {""session_id"": ""user_0009_s0034"", ""session_index"": 34, ""signal_type"": ""support"", ""user"": ""I care most about low cost for this work gear. Context from a realistic prior task: make basic strategi to blackjack in py where the user inputs his number and the delears and it says the option out of basic strategi..."", ""feedback"": ""Good, cheapest acceptable is right for now.""}, {""session_id"": ""user_0009_s0049"", ""session_index"": 49, ""signal_type"": ""post_drift_support"", ""user"": ""The cheap one broke again; pick something durable this time. Relevant item: Can you expand this text? Minimum is 50 words. After delving into WPX and Bluehost separately, it's time to compare the two. We now know the..."", ""feedback"": ""Good, I would rather pay a bit more than replace it again.""}]",pass,,,revise,revise: remove noisy real-log seed tails from visible history and soften obvious distractor wording,yes
