probe_id,domain,probe_type,removed_sentence_count,removed_sentences_json,old_query,new_query
mdgo_v11_probe_000026,finance,surface_decoy_pair,1,"[""The signed-in app and trusted device are already available.""]","Restore access to checking ending 4154 after a device change. Set up the $486 transfer from savings ending 7348 to checking ending 4154 for the annual insurance renewal. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. Produce one replayable closeout under V12-FIN-R10026; the visible tools are context, not a substitute for the user’s recorded process.","Restore access to checking ending 4154 after a device change. Set up the $486 transfer from savings ending 7348 to checking ending 4154 for the annual insurance renewal. The signed-in app and trusted device are already available. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. Produce one replayable closeout under V12-FIN-R10026; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000060,finance,surface_decoy_pair,1,"[""The signed-in app and trusted device are already available.""]","Prepare a $640 payment from checking ending 4120 to Meadow Insurance for May 22. Restore access to checking ending 4120 after a device change. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10060; the visible tools are context, not a substitute for the user’s recorded process.","Prepare a $640 payment from checking ending 4120 to Meadow Insurance for May 22. Restore access to checking ending 4120 after a device change. The signed-in app and trusted device are already available. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10060; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000062,finance,surface_decoy_pair,1,"[""The signed-in app and trusted device are already available.""]","Review the $136 fee posted by Beacon Storage on November 13 and prepare the case if the mismatch remains. A $1878 charge at Cedar Market is unfamiliar on card ending 9208. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10062; the visible tools are context, not a substitute for the user’s recorded process.","Review the $136 fee posted by Beacon Storage on November 13 and prepare the case if the mismatch remains. A $1878 charge at Cedar Market is unfamiliar on card ending 9208. The signed-in app and trusted device are already available. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10062; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000065,finance,suggestion_rejection_pair,1,"[""The case already contains a timestamped event list.""]",The $1579 charge from Oakline Media on card ending 8863 still does not reconcile. Review the April 9 statement for checking ending 4307 and explain the change. The case already contains a timestamped event list. The case already contains a timestamped event list. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,The $1579 charge from Oakline Media on card ending 8863 still does not reconcile. Review the April 9 statement for checking ending 4307 and explain the change. The case already contains a timestamped event list. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000087,finance,surface_decoy_pair,1,"[""The signed-in app and trusted device are already available.""]","Restore access to checking ending 4579 after a device change. The $1414 charge from Sunrise Hardware on card ending 9231 still does not reconcile. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10087; the visible tools are context, not a substitute for the user’s recorded process.","Restore access to checking ending 4579 after a device change. The $1414 charge from Sunrise Hardware on card ending 9231 still does not reconcile. The signed-in app and trusted device are already available. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10087; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000096,finance,surface_decoy_pair,1,"[""The signed-in app and trusted device are already available.""]","Check the present state of the $1435 transfer from checking ending 4681 for the vendor retainer. Move the mailing address for checking ending 4681 to the verified address on file. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10096; the visible tools are context, not a substitute for the user’s recorded process.","Check the present state of the $1435 transfer from checking ending 4681 for the vendor retainer. Move the mailing address for checking ending 4681 to the verified address on file. The signed-in app and trusted device are already available. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10096; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000110,software,suggestion_rejection_pair,1,"[""The case looks ordinary at first glance.""]",Nimbus Workbench 9.3.4 closes when I use notification rules in Firefox. Show me how to configure PDF export in Nimbus Workbench 10.0.1. The case looks ordinary at first glance. The case looks ordinary at first glance. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Nimbus Workbench 9.3.4 closes when I use notification rules in Firefox. Show me how to configure PDF export in Nimbus Workbench 10.0.1. The case looks ordinary at first glance. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000115,finance,surface_decoy_pair,1,"[""The case already contains a timestamped event list.""]","The $1723 charge from Sunrise Hardware on card ending 9162 still does not reconcile. Reconcile the latest activity on card ending 9162 for the professional membership. The case already contains a timestamped event list. The case already contains a timestamped event list. The request is ordinary enough that the process details are easy to overlook. Produce one replayable closeout under V12-FIN-R10115; the visible tools are context, not a substitute for the user’s recorded process.","The $1723 charge from Sunrise Hardware on card ending 9162 still does not reconcile. Reconcile the latest activity on card ending 9162 for the professional membership. The case already contains a timestamped event list. The request is ordinary enough that the process details are easy to overlook. Produce one replayable closeout under V12-FIN-R10115; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000119,finance,surface_decoy_pair,1,"[""The case already contains a timestamped event list.""]","The $502 charge from Northline Books on card ending 8863 still does not reconcile. Card ending 8863 went missing during the clinic reimbursement. The case already contains a timestamped event list. The case already contains a timestamped event list. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R10119; the visible tools are context, not a substitute for the user’s recorded process.","The $502 charge from Northline Books on card ending 8863 still does not reconcile. Card ending 8863 went missing during the clinic reimbursement. The case already contains a timestamped event list. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R10119; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000144,finance,surface_decoy_pair,1,"[""The reviewer has a comparison worksheet open beside the case.""]","Review the June 11 statement for checking ending 4273 and explain the change. Assess a $22470 line-of-credit question for the workspace lease. The reviewer has a comparison worksheet open beside the case. The reviewer has a comparison worksheet open beside the case. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R10144; the visible tools are context, not a substitute for the user’s recorded process.","Review the June 11 statement for checking ending 4273 and explain the change. Assess a $22470 line-of-credit question for the workspace lease. The reviewer has a comparison worksheet open beside the case. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R10144; the visible tools are context, not a substitute for the user’s recorded process."
