review_id,public_probe_id,probe_id,user_id,split,probe_type,habit_family,template_id,stress_variant,query,choices_json,proposed_gold_choice_id,proposed_gold_action,evidence_preview_json,auto_validation_status,reviewer_decision,reviewer_notes
review_food_user_0000_habit_00_no_raw_or_undercooked_egg_p00_direct_use__food_v03,food_v03_probe_b5eddb76d5e55c62,food_user_0000_habit_00_no_raw_or_undercooked_egg_p00_direct_use__food_v03,food_user_0000,dev,direct_use,content_constraints,no_raw_or_undercooked_egg,original_food_v03,I'm making a recipe with eggs and possible doneness concerns. Can you guide it the way I usually prefer?,"[{""choice_id"": ""A"", ""text"": ""Avoid raw or undercooked egg exposure and include a safe doneness or pasteurized-egg note.""}, {""choice_id"": ""B"", ""text"": ""Treat raw or undercooked eggs casually without adding a safety adjustment.""}, {""choice_id"": ""C"", ""text"": ""Discuss the original handling while still making the safety guidance explicit.""}, {""choice_id"": ""D"", ""text"": ""Lightly oil the grill grate before adding the marinated wings.""}]",A,apply_scoped_content_constraint,"[{""session_id"": ""food_user_0000_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""While we make Butterscotch Brownies in a Jar, can you flag any point where raw or undercooked eggs might be an issue?"", ""assistant"": ""Yes. Once the 2 beaten eggs are added, treat the batter as not safe to taste raw. Mix it well, then make sure the brownies are fully baked before eating; if a recipe ever relies...""}, {""session_id"": ""food_user_0000_s0011"", ""session_index"": 11, ""signal_type"": ""support"", ""recipe_title"": ""Country Fried Chicken"", ""user"": ""I’m making Country Fried Chicken, and when we get to the egg-and-milk coating, please be careful about any raw egg or undercooked egg guidance."", ""assistant"": ""Of course. I’ll treat the egg mixture as raw while you’re coating: don’t taste the wet batter, keep it away from anything that will touch finished chicken, and make sure the egg...""}, {""session_id"": ""food_user_0000_s0027"", ""session_index"": 27, ""signal_type"": ""support"", ""recipe_title"": ""Almond Apricot Bread"", ""user"": ""While we make Almond Apricot Bread, can you call out any egg-related parts so I do not taste raw batter or accidentally treat an undercooked mix as done?"", ""assistant"": ""Yes. When the egg comes into the recipe, keep the batter off-limits for tasting, wash anything that touches it, and use pasteurized eggs if you ever need extra caution. To start...""}, {""session_id"": ""food_user_0000_s0033"", ""session_index"": 33, ""signal_type"": ""support"", ""recipe_title"": ""Fresh Apple Cake"", ""user"": ""As we make Fresh Apple Cake, can you keep an eye on anything involving eggs so I do not end up tasting raw batter or leaving them underdone?"", ""assistant"": ""Yes. Since this cake uses 3 beaten eggs, I’ll remind you not to sample the batter after they go in, and the cake should be baked through rather than treated like something safe...""}]",pass,,
review_food_user_0000_habit_00_no_raw_or_undercooked_egg_p00_direct_use__food_v03__unseen_paraphrase,food_v03_probe_ca31a745204e3866,food_user_0000_habit_00_no_raw_or_undercooked_egg_p00_direct_use__food_v03__unseen_paraphrase,food_user_0000,dev,direct_use,content_constraints,no_raw_or_undercooked_egg,unseen_paraphrase,I'm making something with eggs where doneness might matter. Can you walk me through it the way I usually need?,"[{""choice_id"": ""A"", ""text"": ""Avoid raw or undercooked egg exposure and include a safe doneness or pasteurized-egg note.""}, {""choice_id"": ""B"", ""text"": ""Treat raw or undercooked eggs casually without adding a safety adjustment.""}, {""choice_id"": ""C"", ""text"": ""Discuss the original handling while still making the safety guidance explicit.""}, {""choice_id"": ""D"", ""text"": ""Lightly oil the grill grate before adding the marinated wings.""}]",A,apply_scoped_content_constraint,"[{""session_id"": ""food_user_0000_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""While we make Butterscotch Brownies in a Jar, can you flag any point where raw or undercooked eggs might be an issue?"", ""assistant"": ""Yes. Once the 2 beaten eggs are added, treat the batter as not safe to taste raw. Mix it well, then make sure the brownies are fully baked before eating; if a recipe ever relies...""}, {""session_id"": ""food_user_0000_s0011"", ""session_index"": 11, ""signal_type"": ""support"", ""recipe_title"": ""Country Fried Chicken"", ""user"": ""I’m making Country Fried Chicken, and when we get to the egg-and-milk coating, please be careful about any raw egg or undercooked egg guidance."", ""assistant"": ""Of course. I’ll treat the egg mixture as raw while you’re coating: don’t taste the wet batter, keep it away from anything that will touch finished chicken, and make sure the egg...""}, {""session_id"": ""food_user_0000_s0027"", ""session_index"": 27, ""signal_type"": ""support"", ""recipe_title"": ""Almond Apricot Bread"", ""user"": ""While we make Almond Apricot Bread, can you call out any egg-related parts so I do not taste raw batter or accidentally treat an undercooked mix as done?"", ""assistant"": ""Yes. When the egg comes into the recipe, keep the batter off-limits for tasting, wash anything that touches it, and use pasteurized eggs if you ever need extra caution. To start...""}, {""session_id"": ""food_user_0000_s0033"", ""session_index"": 33, ""signal_type"": ""support"", ""recipe_title"": ""Fresh Apple Cake"", ""user"": ""As we make Fresh Apple Cake, can you keep an eye on anything involving eggs so I do not end up tasting raw batter or leaving them underdone?"", ""assistant"": ""Yes. Since this cake uses 3 beaten eggs, I’ll remind you not to sample the batter after they go in, and the cake should be baked through rather than treated like something safe...""}]",pass,,
review_food_user_0000_habit_00_no_raw_or_undercooked_egg_p00_direct_use__food_v03_explicit_retrieval,food_v03_probe_740f4db9400b2bf8,food_user_0000_habit_00_no_raw_or_undercooked_egg_p00_direct_use__food_v03_explicit_retrieval,food_user_0000,dev,explicit_retrieval,content_constraints,no_raw_or_undercooked_egg,original_food_v03,What recurring cooking preference has the user reinforced for recipes with eggs where doneness or raw mixture safety could matter?,"[{""choice_id"": ""A"", ""text"": ""Treat raw or undercooked eggs casually without a safety adjustment.""}, {""choice_id"": ""B"", ""text"": ""Proceed with the pasteurized-egg method while keeping the safety condition explicit.""}, {""choice_id"": ""C"", ""text"": ""Discuss the original handling in context while still keeping safety guidance explicit.""}, {""choice_id"": ""D"", ""text"": ""Avoid raw or undercooked egg exposure and include a safe doneness or pasteurized-egg note.""}]",D,explicit_fact_preference_retrieval,"[{""session_id"": ""food_user_0000_s0010"", ""session_index"": 10, ""signal_type"": ""support"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""While we make Butterscotch Brownies in a Jar, can you flag any point where raw or undercooked eggs might be an issue?"", ""assistant"": ""Yes. Once the 2 beaten eggs are added, treat the batter as not safe to taste raw. Mix it well, then make sure the brownies are fully baked before eating; if a recipe ever relies...""}, {""session_id"": ""food_user_0000_s0011"", ""session_index"": 11, ""signal_type"": ""support"", ""recipe_title"": ""Country Fried Chicken"", ""user"": ""I’m making Country Fried Chicken, and when we get to the egg-and-milk coating, please be careful about any raw egg or undercooked egg guidance."", ""assistant"": ""Of course. I’ll treat the egg mixture as raw while you’re coating: don’t taste the wet batter, keep it away from anything that will touch finished chicken, and make sure the egg...""}, {""session_id"": ""food_user_0000_s0027"", ""session_index"": 27, ""signal_type"": ""support"", ""recipe_title"": ""Almond Apricot Bread"", ""user"": ""While we make Almond Apricot Bread, can you call out any egg-related parts so I do not taste raw batter or accidentally treat an undercooked mix as done?"", ""assistant"": ""Yes. When the egg comes into the recipe, keep the batter off-limits for tasting, wash anything that touches it, and use pasteurized eggs if you ever need extra caution. To start...""}, {""session_id"": ""food_user_0000_s0033"", ""session_index"": 33, ""signal_type"": ""support"", ""recipe_title"": ""Fresh Apple Cake"", ""user"": ""As we make Fresh Apple Cake, can you keep an eye on anything involving eggs so I do not end up tasting raw batter or leaving them underdone?"", ""assistant"": ""Yes. Since this cake uses 3 beaten eggs, I’ll remind you not to sample the batter after they go in, and the cake should be baked through rather than treated like something safe...""}]",pass,,
review_food_user_0000_habit_00_no_raw_or_undercooked_egg_p01_boundary__food_v03,food_v03_probe_fad80bf44f90d187,food_user_0000_habit_00_no_raw_or_undercooked_egg_p01_boundary__food_v03,food_user_0000,dev,boundary,content_constraints,no_raw_or_undercooked_egg,original_food_v03,I'm using this recipe for a food-safety comparison of different egg handling methods. Can you explain the recipe context clearly?,"[{""choice_id"": ""A"", ""text"": ""Discuss the original handling while still making the safety guidance explicit.""}, {""choice_id"": ""B"", ""text"": ""Stir firmly until the mixture pulls together and forms a ball.""}, {""choice_id"": ""C"", ""text"": ""Treat raw or undercooked eggs casually without adding a safety adjustment.""}, {""choice_id"": ""D"", ""text"": ""Avoid raw or undercooked egg exposure and include a safe doneness or pasteurized-egg note.""}]",A,do_not_overapply_content_constraint,"[{""session_id"": ""food_user_0000_s0026"", ""session_index"": 26, ""signal_type"": ""boundary_counterexample"", ""recipe_title"": ""Grandmas Gnocchi"", ""user"": ""I'm looking at Grandma's Gnocchi today as a food-safety comparison around egg handling. Can you walk me through the recipe context without changing what it originally calls for?"", ""assistant"": ""Yes. In this version, the recipe includes 1 lightly beaten egg, so I’ll keep the original handling clear while pointing out safety basics in the moment: keep the egg cold until...""}]",pass,,
review_food_user_0000_habit_00_no_raw_or_undercooked_egg_p01_boundary__food_v03__unseen_paraphrase,food_v03_probe_c808a264a9aa7a60,food_user_0000_habit_00_no_raw_or_undercooked_egg_p01_boundary__food_v03__unseen_paraphrase,food_user_0000,dev,boundary,content_constraints,no_raw_or_undercooked_egg,unseen_paraphrase,"I'm comparing raw, pasteurized, and cooked egg handling for food safety. Can you explain the original handling clearly?","[{""choice_id"": ""A"", ""text"": ""Discuss the original handling while still making the safety guidance explicit.""}, {""choice_id"": ""B"", ""text"": ""Stir firmly until the mixture pulls together and forms a ball.""}, {""choice_id"": ""C"", ""text"": ""Treat raw or undercooked eggs casually without adding a safety adjustment.""}, {""choice_id"": ""D"", ""text"": ""Avoid raw or undercooked egg exposure and include a safe doneness or pasteurized-egg note.""}]",A,do_not_overapply_content_constraint,"[{""session_id"": ""food_user_0000_s0026"", ""session_index"": 26, ""signal_type"": ""boundary_counterexample"", ""recipe_title"": ""Grandmas Gnocchi"", ""user"": ""I'm looking at Grandma's Gnocchi today as a food-safety comparison around egg handling. Can you walk me through the recipe context without changing what it originally calls for?"", ""assistant"": ""Yes. In this version, the recipe includes 1 lightly beaten egg, so I’ll keep the original handling clear while pointing out safety basics in the moment: keep the egg cold until...""}]",pass,,
review_food_user_0000_habit_00_no_raw_or_undercooked_egg_p02_exception__food_v03,food_v03_probe_6ab3d4155fcf041d,food_user_0000_habit_00_no_raw_or_undercooked_egg_p02_exception__food_v03,food_user_0000,dev,exception,content_constraints,no_raw_or_undercooked_egg,original_food_v03,"I bought the safer carton specifically for this recipe, and I want to handle this step carefully. Can you guide it?","[{""choice_id"": ""A"", ""text"": ""Once the berries have popped, take the pot off the heat.""}, {""choice_id"": ""B"", ""text"": ""Avoid raw or undercooked egg exposure and include a safe doneness or pasteurized-egg note.""}, {""choice_id"": ""C"", ""text"": ""Proceed with the pasteurized-egg method while keeping the safety condition explicit.""}, {""choice_id"": ""D"", ""text"": ""Treat raw or undercooked eggs casually without adding a safety adjustment.""}]",C,apply_user_scoped_exception,"[{""session_id"": ""food_user_0000_s0041"", ""session_index"": 41, ""signal_type"": ""exception"", ""recipe_title"": ""Dziriat Algerian Almond Tarts"", ""user"": ""I picked up a pasteurized carton just for making Dziriat Algerian Almond Tarts today, so I’d like to be extra careful with that part. Can you walk me through this version?"", ""assistant"": ""Yes. For this batch, use the pasteurized-egg approach and keep that safety choice clear as you work through the tart prep.""}]",pass,,
review_food_user_0000_habit_00_no_raw_or_undercooked_egg_p02_exception__food_v03__unseen_paraphrase,food_v03_probe_5400cffb7d5bae9e,food_user_0000_habit_00_no_raw_or_undercooked_egg_p02_exception__food_v03__unseen_paraphrase,food_user_0000,dev,exception,content_constraints,no_raw_or_undercooked_egg,unseen_paraphrase,I have pasteurized eggs for this recipe and want the original texture. Can you guide that version carefully?,"[{""choice_id"": ""A"", ""text"": ""Once the berries have popped, take the pot off the heat.""}, {""choice_id"": ""B"", ""text"": ""Avoid raw or undercooked egg exposure and include a safe doneness or pasteurized-egg note.""}, {""choice_id"": ""C"", ""text"": ""Proceed with the pasteurized-egg method while keeping the safety condition explicit.""}, {""choice_id"": ""D"", ""text"": ""Treat raw or undercooked eggs casually without adding a safety adjustment.""}]",C,apply_user_scoped_exception,"[{""session_id"": ""food_user_0000_s0041"", ""session_index"": 41, ""signal_type"": ""exception"", ""recipe_title"": ""Dziriat Algerian Almond Tarts"", ""user"": ""I picked up a pasteurized carton just for making Dziriat Algerian Almond Tarts today, so I’d like to be extra careful with that part. Can you walk me through this version?"", ""assistant"": ""Yes. For this batch, use the pasteurized-egg approach and keep that safety choice clear as you work through the tart prep.""}]",pass,,
review_food_user_0000_habit_01_egg_free_baking_p00_direct_use__food_v03,food_v03_probe_3fab62a967048f28,food_user_0000_habit_01_egg_free_baking_p00_direct_use__food_v03,food_user_0000,dev,direct_use,content_constraints,egg_free_baking,original_food_v03,I'm doing routine baking from a recipe that includes eggs. Can you help me make it the way I usually prefer?,"[{""choice_id"": ""A"", ""text"": ""Use the original egg step because this technical bake depends on egg structure.""}, {""choice_id"": ""B"", ""text"": ""Offer an egg-free baking substitute and mention the likely texture tradeoff.""}, {""choice_id"": ""C"", ""text"": ""Use the eggs as written without offering an egg-free baking route.""}, {""choice_id"": ""D"", ""text"": ""The texture should become thicker off the heat.""}]",B,apply_scoped_content_constraint,"[{""session_id"": ""food_user_0000_s0004"", ""session_index"": 4, ""signal_type"": ""support"", ""recipe_title"": ""Chocolate Crisps"", ""user"": ""I’m making Chocolate Crisps today, and for my regular baking I’d like them to be egg-free if that works with the recipe."", ""assistant"": ""Yes, we can guide this batch that way. The original ingredient to swap is the 1 egg white; use a flax egg, chia egg, applesauce, or another binder that suits the thin, crisp tex...""}, {""session_id"": ""food_user_0000_s0023"", ""session_index"": 23, ""signal_type"": ""support"", ""recipe_title"": ""A Surprise Inside French Toast"", ""user"": ""When we make A Surprise Inside French Toast, can you keep my usual baking version egg-free wherever that makes sense?"", ""assistant"": ""Yes. The listed cheese filling is already egg-free, so we’ll keep it that way; if you decide to add a soaking mixture, choose a flax egg, chia egg, applesauce, or another binder...""}, {""session_id"": ""food_user_0000_s0024"", ""session_index"": 24, ""signal_type"": ""support"", ""recipe_title"": ""Grandmas Gingersnaps"", ""user"": ""When we make Grandma’s Gingersnaps, can you guide me through them without using the egg? That’s how I like to handle everyday baking."", ""assistant"": ""Yes. Since the recipe calls for 1 egg, we’ll swap in a suitable binder instead, such as a flax egg, chia egg, or a small amount of applesauce, while keeping the gingersnap dough...""}, {""session_id"": ""food_user_0000_s0030"", ""session_index"": 30, ""signal_type"": ""support"", ""recipe_title"": ""Bacon Wrapped Hamburgers"", ""user"": ""When we make Bacon Wrapped Hamburgers, can you keep them egg-free like I usually prefer for everyday cooking?"", ""assistant"": ""Yes. I’ll leave out the 1 egg and use a binder that suits burger patties—flax egg or chia egg would be my top pick here, with applesauce only if you do not mind a softer, slight...""}]",pass,,
review_food_user_0000_habit_01_egg_free_baking_p00_direct_use__food_v03__unseen_paraphrase,food_v03_probe_859d17142c5ddeb3,food_user_0000_habit_01_egg_free_baking_p00_direct_use__food_v03__unseen_paraphrase,food_user_0000,dev,direct_use,content_constraints,egg_free_baking,unseen_paraphrase,I'm doing a routine bake from a recipe with eggs. Can you help me make it the way I usually need?,"[{""choice_id"": ""A"", ""text"": ""Use the original egg step because this technical bake depends on egg structure.""}, {""choice_id"": ""B"", ""text"": ""Offer an egg-free baking substitute and mention the likely texture tradeoff.""}, {""choice_id"": ""C"", ""text"": ""Use the eggs as written without offering an egg-free baking route.""}, {""choice_id"": ""D"", ""text"": ""The texture should become thicker off the heat.""}]",B,apply_scoped_content_constraint,"[{""session_id"": ""food_user_0000_s0004"", ""session_index"": 4, ""signal_type"": ""support"", ""recipe_title"": ""Chocolate Crisps"", ""user"": ""I’m making Chocolate Crisps today, and for my regular baking I’d like them to be egg-free if that works with the recipe."", ""assistant"": ""Yes, we can guide this batch that way. The original ingredient to swap is the 1 egg white; use a flax egg, chia egg, applesauce, or another binder that suits the thin, crisp tex...""}, {""session_id"": ""food_user_0000_s0023"", ""session_index"": 23, ""signal_type"": ""support"", ""recipe_title"": ""A Surprise Inside French Toast"", ""user"": ""When we make A Surprise Inside French Toast, can you keep my usual baking version egg-free wherever that makes sense?"", ""assistant"": ""Yes. The listed cheese filling is already egg-free, so we’ll keep it that way; if you decide to add a soaking mixture, choose a flax egg, chia egg, applesauce, or another binder...""}, {""session_id"": ""food_user_0000_s0024"", ""session_index"": 24, ""signal_type"": ""support"", ""recipe_title"": ""Grandmas Gingersnaps"", ""user"": ""When we make Grandma’s Gingersnaps, can you guide me through them without using the egg? That’s how I like to handle everyday baking."", ""assistant"": ""Yes. Since the recipe calls for 1 egg, we’ll swap in a suitable binder instead, such as a flax egg, chia egg, or a small amount of applesauce, while keeping the gingersnap dough...""}, {""session_id"": ""food_user_0000_s0030"", ""session_index"": 30, ""signal_type"": ""support"", ""recipe_title"": ""Bacon Wrapped Hamburgers"", ""user"": ""When we make Bacon Wrapped Hamburgers, can you keep them egg-free like I usually prefer for everyday cooking?"", ""assistant"": ""Yes. I’ll leave out the 1 egg and use a binder that suits burger patties—flax egg or chia egg would be my top pick here, with applesauce only if you do not mind a softer, slight...""}]",pass,,
review_food_user_0000_habit_01_egg_free_baking_p00_direct_use__food_v03_explicit_retrieval,food_v03_probe_c2e7f365a4dcb3dc,food_user_0000_habit_01_egg_free_baking_p00_direct_use__food_v03_explicit_retrieval,food_user_0000,dev,explicit_retrieval,content_constraints,egg_free_baking,original_food_v03,What recurring cooking preference has the user reinforced for baking recipes or batters that include eggs?,"[{""choice_id"": ""A"", ""text"": ""Use eggs as written without mentioning the user's egg-free baking default.""}, {""choice_id"": ""B"", ""text"": ""Use the original egg step because the technical bake depends on egg structure.""}, {""choice_id"": ""C"", ""text"": ""Use the egg step needed for the technical bake's structure.""}, {""choice_id"": ""D"", ""text"": ""Provide an egg-free baking substitute and note any texture tradeoff.""}]",D,explicit_fact_preference_retrieval,"[{""session_id"": ""food_user_0000_s0004"", ""session_index"": 4, ""signal_type"": ""support"", ""recipe_title"": ""Chocolate Crisps"", ""user"": ""I’m making Chocolate Crisps today, and for my regular baking I’d like them to be egg-free if that works with the recipe."", ""assistant"": ""Yes, we can guide this batch that way. The original ingredient to swap is the 1 egg white; use a flax egg, chia egg, applesauce, or another binder that suits the thin, crisp tex...""}, {""session_id"": ""food_user_0000_s0023"", ""session_index"": 23, ""signal_type"": ""support"", ""recipe_title"": ""A Surprise Inside French Toast"", ""user"": ""When we make A Surprise Inside French Toast, can you keep my usual baking version egg-free wherever that makes sense?"", ""assistant"": ""Yes. The listed cheese filling is already egg-free, so we’ll keep it that way; if you decide to add a soaking mixture, choose a flax egg, chia egg, applesauce, or another binder...""}, {""session_id"": ""food_user_0000_s0024"", ""session_index"": 24, ""signal_type"": ""support"", ""recipe_title"": ""Grandmas Gingersnaps"", ""user"": ""When we make Grandma’s Gingersnaps, can you guide me through them without using the egg? That’s how I like to handle everyday baking."", ""assistant"": ""Yes. Since the recipe calls for 1 egg, we’ll swap in a suitable binder instead, such as a flax egg, chia egg, or a small amount of applesauce, while keeping the gingersnap dough...""}, {""session_id"": ""food_user_0000_s0030"", ""session_index"": 30, ""signal_type"": ""support"", ""recipe_title"": ""Bacon Wrapped Hamburgers"", ""user"": ""When we make Bacon Wrapped Hamburgers, can you keep them egg-free like I usually prefer for everyday cooking?"", ""assistant"": ""Yes. I’ll leave out the 1 egg and use a binder that suits burger patties—flax egg or chia egg would be my top pick here, with applesauce only if you do not mind a softer, slight...""}]",pass,,
