user_id,domain,habit_id,habit_family,condition,active_variant_id,active_variant_label,active_variant_action,is_drift_updated,old_variant_id,old_variant_label,support_evidence_count,old_evidence_count,new_evidence_count,boundary_evidence_count,exception_evidence_count,composition_evidence_count,priority_evidence_count,evidence_session_ids_json
mdgo_v05_fin_user_0000,finance,finance_confirm_money_movement,risk_threshold,"a transfer, bill payment, scheduled payment, or other money movement would be submitted",itemized_final_yes,itemized readback then one final yes,"read back amount, source, destination or payee, and timing, then wait for one final yes",False,,,5,0,0,1,1,1,3,"[""mdgo_v05_fin_user_0000_s0023"", ""mdgo_v05_fin_user_0000_s0087"", ""mdgo_v05_fin_user_0000_s0163"", ""mdgo_v05_fin_user_0000_s0234"", ""mdgo_v05_fin_user_0000_s0278"", ""mdgo_v05_fin_user_0000_s0122"", ""mdgo_v05_fin_user_0000_s0198"", ""mdgo_v05_fin_user_0000_s0258"", ""mdgo_v05_fin_user_0000_s0185"", ""mdgo_v05_fin_user_0000_s0223"", ""mdgo_v05_fin_user_0000_s0261""]"
mdgo_v05_fin_user_0000,finance,finance_minimal_pii_secure_verification,privacy_consent,"finance support requires identity, card, account, SSN-like, PIN, or one-time-code verification",secure_message_center,secure message-center verification,move verification to the secure message center and use only masked identifiers in chat,False,,,5,0,0,1,1,4,0,"[""mdgo_v05_fin_user_0000_s0022"", ""mdgo_v05_fin_user_0000_s0086"", ""mdgo_v05_fin_user_0000_s0162"", ""mdgo_v05_fin_user_0000_s0233"", ""mdgo_v05_fin_user_0000_s0277"", ""mdgo_v05_fin_user_0000_s0121"", ""mdgo_v05_fin_user_0000_s0197"", ""mdgo_v05_fin_user_0000_s0108"", ""mdgo_v05_fin_user_0000_s0143"", ""mdgo_v05_fin_user_0000_s0178"", ""mdgo_v05_fin_user_0000_s0258""]"
mdgo_v05_fin_user_0000,finance,finance_balance_statement_summary_first,format_style,"the user asks for a balance, statement, or transaction review",merchant_category_rollup,merchant and category rollup,group relevant entries by merchant or category and connect each group to the conclusion,False,,,0,0,0,0,0,1,0,"[""mdgo_v05_fin_user_0000_s0258""]"
mdgo_v05_fin_user_0000,finance,finance_credit_loan_cautious_no_commitment,risk_threshold,"the user asks about loan, mortgage, credit-limit, or credit eligibility decisions",side_by_side_scenarios,side-by-side scenarios,compare several financing scenarios and leave the decision unsubmitted,True,requirements_and_ranges,requirements and scenario ranges,0,1,4,1,1,1,3,"[""mdgo_v05_fin_user_0000_s0019"", ""mdgo_v05_fin_user_0000_s0210"", ""mdgo_v05_fin_user_0000_s0239"", ""mdgo_v05_fin_user_0000_s0274"", ""mdgo_v05_fin_user_0000_s0303"", ""mdgo_v05_fin_user_0000_s0127"", ""mdgo_v05_fin_user_0000_s0290"", ""mdgo_v05_fin_user_0000_s0178"", ""mdgo_v05_fin_user_0000_s0185"", ""mdgo_v05_fin_user_0000_s0223"", ""mdgo_v05_fin_user_0000_s0261""]"
mdgo_v05_fin_user_0000,finance,finance_confirm_card_account_changes,risk_threshold,"a card or account setting would be blocked, replaced, opened, closed, or edited",before_after_comparison,before-and-after comparison,show a before-and-after comparison and wait for approval,False,,,4,0,0,0,1,1,0,"[""mdgo_v05_fin_user_0000_s0028"", ""mdgo_v05_fin_user_0000_s0092"", ""mdgo_v05_fin_user_0000_s0168"", ""mdgo_v05_fin_user_0000_s0283"", ""mdgo_v05_fin_user_0000_s0203"", ""mdgo_v05_fin_user_0000_s0143""]"
mdgo_v05_fin_user_0000,finance,finance_fraud_lost_card_urgent_escalation,tool_action,"the user reports a lost or stolen card, suspected fraud, or an unauthorized transaction",lock_then_fraud_team,immediate lock then fraud team,lock the affected card immediately and route the incident to the fraud team,True,card_controls_timeline,card controls plus incident timeline,0,2,4,1,1,1,0,"[""mdgo_v05_fin_user_0000_s0016"", ""mdgo_v05_fin_user_0000_s0051"", ""mdgo_v05_fin_user_0000_s0207"", ""mdgo_v05_fin_user_0000_s0236"", ""mdgo_v05_fin_user_0000_s0271"", ""mdgo_v05_fin_user_0000_s0300"", ""mdgo_v05_fin_user_0000_s0124"", ""mdgo_v05_fin_user_0000_s0287"", ""mdgo_v05_fin_user_0000_s0108""]"
mdgo_v05_fin_user_0001,finance,finance_fraud_lost_card_urgent_escalation,tool_action,"the user reports a lost or stolen card, suspected fraud, or an unauthorized transaction",verify_incident_then_lock,verify incident details then lock,"verify the last known legitimate activity, lock the card, and escalate",False,,,5,0,0,1,1,2,0,"[""mdgo_v05_fin_user_0001_s0023"", ""mdgo_v05_fin_user_0001_s0087"", ""mdgo_v05_fin_user_0001_s0163"", ""mdgo_v05_fin_user_0001_s0234"", ""mdgo_v05_fin_user_0001_s0278"", ""mdgo_v05_fin_user_0001_s0122"", ""mdgo_v05_fin_user_0001_s0198"", ""mdgo_v05_fin_user_0001_s0108"", ""mdgo_v05_fin_user_0001_s0258""]"
mdgo_v05_fin_user_0001,finance,finance_fee_dispute_evidence_then_case,risk_threshold,the user wants to dispute a charge or fee or open a transaction case,charge_timeline_threshold,charge timeline and escalation threshold,build a charge timeline and use an agreed threshold before opening a case,False,,,5,0,0,1,1,3,4,"[""mdgo_v05_fin_user_0001_s0024"", ""mdgo_v05_fin_user_0001_s0088"", ""mdgo_v05_fin_user_0001_s0164"", ""mdgo_v05_fin_user_0001_s0235"", ""mdgo_v05_fin_user_0001_s0279"", ""mdgo_v05_fin_user_0001_s0123"", ""mdgo_v05_fin_user_0001_s0199"", ""mdgo_v05_fin_user_0001_s0178"", ""mdgo_v05_fin_user_0001_s0248"", ""mdgo_v05_fin_user_0001_s0258"", ""mdgo_v05_fin_user_0001_s0185"", ""mdgo_v05_fin_user_0001_s0223"", ""mdgo_v05_fin_user_0001_s0261"", ""mdgo_v05_fin_user_0001_s0288""]"
mdgo_v05_fin_user_0001,finance,finance_payment_status_latest_check,tool_action,"the answer depends on the current status of a payment, transfer, balance, due date, or posting state",secure_status_page,secure status-page interpretation,use the secure status page and explain the current state with a timestamp,True,ledger_notification_crosscheck,ledger and notification cross-check,0,2,4,1,1,3,1,"[""mdgo_v05_fin_user_0001_s0016"", ""mdgo_v05_fin_user_0001_s0051"", ""mdgo_v05_fin_user_0001_s0207"", ""mdgo_v05_fin_user_0001_s0236"", ""mdgo_v05_fin_user_0001_s0271"", ""mdgo_v05_fin_user_0001_s0300"", ""mdgo_v05_fin_user_0001_s0124"", ""mdgo_v05_fin_user_0001_s0287"", ""mdgo_v05_fin_user_0001_s0213"", ""mdgo_v05_fin_user_0001_s0248"", ""mdgo_v05_fin_user_0001_s0258"", ""mdgo_v05_fin_user_0001_s0288""]"
mdgo_v05_fin_user_0001,finance,finance_confirm_card_account_changes,risk_threshold,"a card or account setting would be blocked, replaced, opened, closed, or edited",secure_change_preview,secure in-app change preview,create a secure in-app change preview and require device approval,False,,,0,0,0,0,0,1,4,"[""mdgo_v05_fin_user_0001_s0143"", ""mdgo_v05_fin_user_0001_s0185"", ""mdgo_v05_fin_user_0001_s0223"", ""mdgo_v05_fin_user_0001_s0261"", ""mdgo_v05_fin_user_0001_s0288""]"
