probe_id,probe_type,gold_choice_id,listed_in_feedback_error_set,query_within_declared_account_review_scope,decision_unit_id,decision_unit_reuse_count,query
mdgo_v11_probe_000019,suggestion_rejection_pair,B,1,1,mdgo_v13_du_02906a0085af610f,29,Reconcile the latest activity on card ending 8748 for the studio equipment invoice. Prepare a $305 payment from checking ending 4222 to Riverview Energy for April 9. The reviewer has a comparison worksheet open beside the case. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000023,triple_asof_interleaved,A,1,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: Reconcile the latest activity on card ending 8748 for the quarterly tax reserve. A $864 charge at Lakeside Studio is unfamiliar on card ending 8748. The $360 charge from Willow Pharmacy on card ending 8748 still does not reconcile. Please keep the response compact even though the case has more than one workstream. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_000133,scope_temporal_pair,A,0,1,mdgo_v13_du_02906a0085af610f,29,"Build one closeout without merging the time scopes. Use my current standing process for the first workstream: A $85 charge at Maple Dental is unfamiliar on card ending 8748. Use the process effective at 4:00 pm on June 29, 2025 for the second: Review the August 15 statement for checking ending 4222 and explain the change. A familiar phrase appears in this request, while the actual scope and date remain case-specific. This looks routine on the surface, but keep the record reviewable."
mdgo_v11_probe_000274,surface_decoy_pair,D,0,1,mdgo_v13_du_02906a0085af610f,29,"A $209 charge at Harbor Transit is unfamiliar on card ending 8748. Review the August 15 statement for checking ending 4222 and explain the change. The signed-in app and trusted device are already available. The reviewer has a comparison worksheet open beside the case. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10274; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000276,surface_decoy_pair,D,0,1,mdgo_v13_du_02906a0085af610f,29,"Recover the secure profile tied to savings ending 7424. Review the March 18 statement for checking ending 4222 and explain the change. The signed-in app and trusted device are already available. The reviewer has a comparison worksheet open beside the case. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. Produce one replayable closeout under V12-FIN-R10276; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000293,dual_asof_reversal,B,0,1,mdgo_v13_du_02906a0085af610f,29,"Prepare the two-workstream record that would have been correct as of 9:00 am on July 13, 2025. Card ending 8748 went missing during the professional membership. Review the January 14 statement for checking ending 4222 and explain the change. This looks routine on the surface, but keep the record reviewable. Use the policy state then in force, even if a later reference eventually closed a pending review."
mdgo_v11_probe_000304,surface_decoy_pair,D,0,1,mdgo_v13_du_02906a0085af610f,29,"A $1242 charge at Silverline Travel is unfamiliar on card ending 8748. Review the July 27 statement for checking ending 4222 and explain the change. The case already contains a timestamped event list. The case already contains a timestamped event list. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. Produce one replayable closeout under V12-FIN-R10304; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000313,suggestion_rejection_pair,D,1,1,mdgo_v13_du_02906a0085af610f,29,Reconcile the latest activity on card ending 8748 for the annual insurance renewal. Set up the $1224 transfer from savings ending 7424 to checking ending 4222 for the clinic reimbursement. The reviewer has a comparison worksheet open beside the case. The other party is available for two short check-ins. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000378,triple_asof_interleaved,C,0,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 12:30 am on June 4, 2025: Review the April 9 statement for checking ending 4222 and explain the change. Card ending 8748 went missing during the professional membership. Prepare a $723 payment from checking ending 4222 to Silverline Travel for November 13. This looks routine on the surface, but keep the record reviewable. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_000505,triple_asof_interleaved,A,0,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: A $2520 charge at Oakline Media is unfamiliar on card ending 8748. Assess a $10110 line-of-credit question for the tuition installment. Review the March 18 statement for checking ending 4222 and explain the change. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
