probe_id,private_probe_id,probe_type,choice_id,is_gold,marker_hits,negative_hits,text
taskmaster_planning_v02_probe_8fdb8626a7948b3c,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p00_direct_use,direct_use,A,False,,,"Book the 8:15 a.m. one-stop arriving at 11:20 a.m. with a 38-minute connection, then stay at a midrange hotel near the airport."
taskmaster_planning_v02_probe_8fdb8626a7948b3c,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p00_direct_use,direct_use,B,True,,,"Book the 7:30 a.m. nonstop arriving at 9:10 a.m., then stay at the hotel a 10-minute walk from the client office; it costs $160 more than the cheapest option."
taskmaster_planning_v02_probe_8fdb8626a7948b3c,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p00_direct_use,direct_use,C,False,,,"Book the 10:45 a.m. nonstop arriving at 12:25 p.m., then stay at a less expensive hotel 30 minutes from the office; it saves about $160."
taskmaster_planning_v02_probe_8fdb8626a7948b3c,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p00_direct_use,direct_use,D,False,but,longer commute;but,"Book the 6:05 a.m. flight with a long connection arriving at 10:55 a.m., then stay at the cheapest suburban hotel; it saves $90 but adds a longer commute."
taskmaster_planning_v02_probe_d8585b8d8e2532ab,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p01_boundary,boundary,A,True,,,"Book the cheaper nonstop evening flight that lands at 8:30 PM, since arrival day is flexible and there are no same-day commitments."
taskmaster_planning_v02_probe_d8585b8d8e2532ab,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p01_boundary,boundary,B,False,,,"Book the morning flight that lands at 11:00 AM for $185 more, mainly to preserve a large arrival cushion that is not needed for any scheduled plan."
taskmaster_planning_v02_probe_d8585b8d8e2532ab,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p01_boundary,boundary,C,False,though;even_though,risk;though,"Book the cheapest two-connection itinerary landing at 12:40 AM, even though it saves only $25 and adds a higher risk of delays."
taskmaster_planning_v02_probe_d8585b8d8e2532ab,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p01_boundary,boundary,D,False,,,Fly in one full day earlier and add an extra hotel night to create a prep buffer before the vacation activities begin.
taskmaster_planning_v02_probe_d2f4ac6e4cc4a2e0,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p02_exception,exception,A,False,,farther,Take the $280 Monday late-night flight to a farther airport and book the cheapest hotel 50 minutes away to reduce airfare and lodging costs.
taskmaster_planning_v02_probe_d2f4ac6e4cc4a2e0,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p02_exception,exception,B,True,,,"Take the $295 Monday afternoon flight that lands at 6:30 p.m. and stay at the nearby hotel, leaving a normal overnight cushion before Tuesday's 1:00 p.m. kickoff."
taskmaster_planning_v02_probe_d2f4ac6e4cc4a2e0,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p02_exception,exception,C,False,,,Take the $255 Tuesday morning flight that lands at 11:20 a.m. and go straight to the 1:00 p.m. kickoff to minimize hotel nights.
taskmaster_planning_v02_probe_d2f4ac6e4cc4a2e0,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p02_exception,exception,D,False,,,Take the $410 Sunday evening flight and a hotel near the client so Monday morning is fully protected for prep.
taskmaster_planning_v02_probe_d038b662fb4cac6f,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p03_explicit_retrieval,explicit_retrieval,A,False,,,"Prioritize the lowest airfare whenever the destination and arrival date are correct, even if arrival is close to the meeting time."
taskmaster_planning_v02_probe_d038b662fb4cac6f,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p03_explicit_retrieval,explicit_retrieval,B,True,,tight,"Choose an earlier arrival with meaningful buffer before client commitments, even if a cheaper itinerary arrives tighter."
taskmaster_planning_v02_probe_d038b662fb4cac6f,tm2_planning_v02_user_0000_habit_business_travel_arrival_buffer_p03_explicit_retrieval,explicit_retrieval,C,False,,,"Favor longer layovers to earn more airline miles, even when they reduce prep time before onsite meetings."
