habit_id,domain,family,variant_index,variant_id,variant_label,active_user_count,old_variant_user_count,total_users_with_habit,active_assignment_balance_pass
finance_confirm_money_movement,finance,risk_threshold,0,itemized_final_yes,itemized readback then one final yes,6,4,23,True
finance_confirm_money_movement,finance,risk_threshold,1,draft_transaction_card,unsubmitted transaction card,6,5,23,True
finance_confirm_money_movement,finance,risk_threshold,2,two_checkpoint_confirmation,two-checkpoint confirmation,6,7,23,True
finance_confirm_money_movement,finance,risk_threshold,3,secure_preview_confirmation,secure preview confirmation,5,7,23,True
finance_confirm_card_account_changes,finance,risk_threshold,0,precise_change_readback,precise change readback,6,6,26,True
finance_confirm_card_account_changes,finance,risk_threshold,1,before_after_comparison,before-and-after comparison,7,6,26,True
finance_confirm_card_account_changes,finance,risk_threshold,2,secure_change_preview,secure in-app change preview,7,4,26,True
finance_confirm_card_account_changes,finance,risk_threshold,3,change_checklist_callback,change checklist plus verified callback,6,10,26,True
finance_minimal_pii_secure_verification,finance,privacy_consent,0,minimal_secure_panel,minimal secure panel,9,8,36,True
finance_minimal_pii_secure_verification,finance,privacy_consent,1,authenticated_app_callback,authenticated app callback,9,10,36,True
finance_minimal_pii_secure_verification,finance,privacy_consent,2,device_passkey_approval,device or passkey approval,9,11,36,True
finance_minimal_pii_secure_verification,finance,privacy_consent,3,secure_message_center,secure message-center verification,9,7,36,True
finance_fraud_lost_card_urgent_escalation,finance,tool_action,0,lock_then_fraud_team,immediate lock then fraud team,7,8,27,True
finance_fraud_lost_card_urgent_escalation,finance,tool_action,1,verify_incident_then_lock,verify incident details then lock,7,9,27,True
finance_fraud_lost_card_urgent_escalation,finance,tool_action,2,temporary_freeze_review,temporary freeze and secure review,7,4,27,True
finance_fraud_lost_card_urgent_escalation,finance,tool_action,3,card_controls_timeline,card controls plus incident timeline,6,6,27,True
finance_balance_statement_summary_first,finance,format_style,0,headline_then_evidence,headline then evidence,7,4,26,True
finance_balance_statement_summary_first,finance,format_style,1,exceptions_first_table,exceptions-first table,6,9,26,True
finance_balance_statement_summary_first,finance,format_style,2,chronological_timeline,chronological review timeline,6,6,26,True
finance_balance_statement_summary_first,finance,format_style,3,merchant_category_rollup,merchant and category rollup,7,7,26,True
finance_fee_dispute_evidence_then_case,finance,risk_threshold,0,evidence_pack_then_approval,evidence pack then approval,7,9,28,True
finance_fee_dispute_evidence_then_case,finance,risk_threshold,1,unsubmitted_case_draft,unsubmitted case draft,7,8,28,True
finance_fee_dispute_evidence_then_case,finance,risk_threshold,2,merchant_reconciliation_first,merchant reconciliation first,7,6,28,True
finance_fee_dispute_evidence_then_case,finance,risk_threshold,3,charge_timeline_threshold,charge timeline and escalation threshold,7,5,28,True
finance_credit_loan_cautious_no_commitment,finance,risk_threshold,0,requirements_and_ranges,requirements and scenario ranges,6,4,23,True
finance_credit_loan_cautious_no_commitment,finance,risk_threshold,1,budget_stress_test,budget stress test first,6,5,23,True
finance_credit_loan_cautious_no_commitment,finance,risk_threshold,2,lender_question_checklist,lender-question checklist,5,7,23,True
finance_credit_loan_cautious_no_commitment,finance,risk_threshold,3,side_by_side_scenarios,side-by-side scenarios,6,7,23,True
finance_payment_status_latest_check,finance,tool_action,0,live_lookup_timestamp,live lookup with timestamp,6,5,27,True
finance_payment_status_latest_check,finance,tool_action,1,secure_status_page,secure status-page interpretation,7,6,27,True
finance_payment_status_latest_check,finance,tool_action,2,ledger_notification_crosscheck,ledger and notification cross-check,7,12,27,True
finance_payment_status_latest_check,finance,tool_action,3,processing_timeline_refresh,processing timeline plus refresh point,7,4,27,True
software_collect_diagnostics_before_fix,software,tool_action,0,environment_error_repro,"environment, error, reproduction",2,2,8,True
software_collect_diagnostics_before_fix,software,tool_action,1,clean_profile_reproduction,clean-profile reproduction,2,1,8,True
software_collect_diagnostics_before_fix,software,tool_action,2,consented_diagnostic_bundle,consented minimal diagnostic bundle,2,4,8,True
software_collect_diagnostics_before_fix,software,tool_action,3,last_known_good_comparison,last-known-good comparison,2,1,8,True
software_docs_lookup_for_update_install,software,tool_action,0,official_docs_current_version,official current-version documentation,1,2,7,True
software_docs_lookup_for_update_install,software,tool_action,1,built_in_help_then_online,built-in help then online lookup,2,1,7,True
software_docs_lookup_for_update_install,software,tool_action,2,kb_changelog_crosscheck,knowledge-base and changelog cross-check,2,2,7,True
software_docs_lookup_for_update_install,software,tool_action,3,compatibility_known_issues,compatibility matrix and known issues,2,2,7,True
software_one_try_then_escalate,software,drift_seasonality,0,one_attempt_then_ticket,one focused attempt then ticket,2,1,7,True
software_one_try_then_escalate,software,drift_seasonality,1,two_distinct_attempts_then_ticket,two distinct attempts then ticket,2,1,7,True
software_one_try_then_escalate,software,drift_seasonality,2,reproducible_blocker_immediate_escalation,immediate escalation for reproducible blockers,2,2,7,True
software_one_try_then_escalate,software,drift_seasonality,3,timeboxed_attempt_then_handoff,time-boxed attempt then handoff,1,3,7,True
software_secure_login_password_flow,software,privacy_consent,0,in_app_secure_reset,in-app secure reset,2,2,9,True
software_secure_login_password_flow,software,privacy_consent,1,verified_browser_device_approval,verified browser plus device approval,2,3,9,True
software_secure_login_password_flow,software,privacy_consent,2,authenticated_app_callback,authenticated-app callback,3,1,9,True
software_secure_login_password_flow,software,privacy_consent,3,passkey_security_key_recovery,passkey or security-key recovery,2,3,9,True
software_platform_specific_steps,software,format_style,0,numbered_menu_steps,numbered menu steps,2,0,8,True
software_platform_specific_steps,software,format_style,1,phase_checklist,compact phase checklist,2,0,8,True
software_platform_specific_steps,software,format_style,2,step_result_rollback_table,step/result/rollback table,2,5,8,True
software_platform_specific_steps,software,format_style,3,gui_command_pairing,GUI and command pairing,2,3,8,True
software_backup_before_risky_change,software,risk_threshold,0,full_backup_restore_point,full backup and restore point,2,1,8,True
software_backup_before_risky_change,software,risk_threshold,1,config_export_restore_test,configuration export and restore test,2,3,8,True
software_backup_before_risky_change,software,risk_threshold,2,sandbox_dry_run_snapshot,sandbox dry run and snapshot,2,1,8,True
software_backup_before_risky_change,software,risk_threshold,3,staged_rollout_checkpoint,staged rollout with rollback checkpoint,2,3,8,True
software_ticket_receipt_summary,software,format_style,0,concise_prose_receipt,concise prose receipt,2,4,7,True
software_ticket_receipt_summary,software,format_style,1,structured_receipt_table,structured receipt table,2,1,7,True
software_ticket_receipt_summary,software,format_style,2,timeline_handoff_receipt,timeline and handoff receipt,2,1,7,True
software_ticket_receipt_summary,software,format_style,3,machine_readable_plus_note,machine-readable block plus human note,1,1,7,True
