domain,conversation_id,cluster_id,quality_score,habit_tags_json,sanitized_task_preview
finance,acs-2ac493ed-4dfb-4c61-9d52-55cd8a673834-1,21,0.6442,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",Hi....i need to check my balance What is last order checks
finance,acs-690e8744-fc41-436e-b675-19fd1befe9b2-1,26,0.6267,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case"", ""finance_credit_loan_cautious_no_commitment""]","i want know new lower rates in commercial [number] NE. Tallwood Ave. Chesapeake, VA [number] thank you bye"
finance,acs-09ea7462-4548-4190-bbf9-c8ef68eff2ff-1,5,0.6529,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case"", ""finance_credit_loan_cautious_no_commitment""]",thank you i want know new lower rate in commerical i want remove error bill in my credit card thank you so much bye
finance,acs-8c433c84-3525-49e4-8d40-bc5591c66dcd-1,0,0.4471,"[""finance_minimal_pii_secure_verification""]",OK thanks for all your help today I don't need any other help from you now Order 47 checks for me and tell me bank's routing number So what is the bank's routing number
finance,acs-67612dc1-9af6-44b0-9a3f-6bb9cb258d25-1,0,0.515,"[""finance_minimal_pii_secure_verification"", ""finance_credit_loan_cautious_no_commitment""]",SAM STILL YOU CONNECTED ?? NO - 6 PRAGASAM ROAD CH - 18 Have a great day!
finance,acs-b6bacf80-0728-4195-b5aa-864b6f109d59-1,20,0.4537,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]",NO-85 ILLA ROAD AL-46 HAVE A NICE DAY
finance,acs-f47e902a-0b55-412b-8fbc-3540e47fd4ba-1,5,0.7462,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",I WANT TO TRANSFER A MONEY TO ANOTHER ACCOUNT I WANT TO CHECK MY ACCOUNT BALANCE TRANSFER A MONEY TO ANOTHER ACCOUNT
finance,acs-4ec94c7d-e5b7-47da-bae5-0aee29d9a67b-1,2,0.7162,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]","I was wrongly charged for late fees even if I paid back everything on time the zip code is [number] , but what I could see in my profile is [number] I had a problem with my credit card"
finance,acs-1ce242a4-7f3e-4254-a377-bf56ec271694-1,7,0.7331,"[""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation"", ""finance_fee_dispute_evidence_then_case""]",Hai.My credit card was missing so block that card ok. but my problem card missing block that card
finance,acs-e369ad9e-e6df-44d8-b591-14d57a890e4e-1,25,0.634,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]","Hello I would like to report a stolen credit card thank you so much, that is all I last used it on 6/12/[number]"
finance,acs-2a5df0e3-cccd-4c28-81d5-5fc456d60244-1,28,0.5062,"[""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",Hi I want to report my credit card loss No I have just misplaced it it was last used yesterday
finance,acs-77d4c9ca-97fa-40b6-b1e3-a8a04c6cb5e5-1,26,0.7594,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_credit_loan_cautious_no_commitment""]",OK THANKS SPENCER NICE TO HELP ME SO SWEET AND COM YOU WAIT SAM WHY YOU GETTING URGENT AWESOME AND GREAT GREAT JOB YOU DO
finance,acs-61fcdcad-0b5a-4ff2-99b4-46151d9bdf0b-1,0,0.6244,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",I HAVE TRANSFER MONEY THANK YOU VERY VERY MUCH MR SPENCER WAIT FOR FEW SECONDS PLEASE SPENCER
finance,acs-57df8b1e-eb5d-4fd9-a549-0797763b2dc3-1,25,0.6835,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case"", ""finance_credit_loan_cautious_no_commitment""]",what are the documents required for education loan how many days progress by education loan what is interest of education loan
finance,acs-7ebca884-db1f-4a94-99f4-3aedfdd15c88-1,6,0.6515,"[""finance_confirm_money_movement"", ""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",the amount is transfer to another account i want close my account thank you so much bye
finance,acs-48ce1a9d-3ec1-44c1-9d92-240c5ed3303c-1,16,0.4537,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification""]","843 Gartner Dr. Menasha, WI [number] oh thank you"
finance,acs-813bcc73-9077-4055-8d36-61467ea775cd-1,4,0.669,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",Then i need a one more help I would like check my account balance Let me know a banks routing number
finance,acs-1e571182-1b4f-4a1c-8dd3-77935b092213-1,7,0.6237,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",I LOST MY CREDIT CARD YESTERDAY CHARLIE KIND ME HELP THANK YOU SO MUCH
finance,acs-0b8a76cb-1e67-454b-bd0f-f4e7dbbb2b4d-1,11,0.7419,"[""finance_confirm_card_account_changes"", ""finance_minimal_pii_secure_verification"", ""finance_fraud_lost_card_urgent_escalation""]",oh I am Sorry Charlie. I lost my card on 17th June [number]. Not on 18th June I want to report to your bank that I have lost my credit card Nothing else. Thanks for your help. Have a good day
finance,acs-05e36e9b-b9ca-4e96-b339-3ebe744e9d42-1,26,0.5106,"[""finance_minimal_pii_secure_verification"", ""finance_fee_dispute_evidence_then_case""]",My credit card bill shows an error Thank you so much
finance,acs-98aa26e8-03bb-479f-a512-198daf162d15-1,7,0.5062,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",i want transfer money to other account thank you sir
finance,acs-d8dc9ddc-7dd5-4095-8e56-d0f43fd718db-1,24,0.55,"[""finance_confirm_money_movement"", ""finance_minimal_pii_secure_verification""]",i need to transfer my money to new account wow ... u done a great job thanks for your valuable service
finance,acs-ad3d0528-80c5-4b4d-a152-111fc9b0af94-1,26,0.6748,"[""finance_minimal_pii_secure_verification"", ""finance_balance_statement_summary_first"", ""finance_payment_status_latest_check""]",I would like check my account balance Let me know company's new routing number Thank you very much
