habit_id,domain,habit_family,assigned_user_count,drift_updated_user_count,active_variant_distribution_json
finance_confirm_money_movement,finance,risk_threshold,23,6,"{""itemized_final_yes"": 6, ""draft_transaction_card"": 6, ""two_checkpoint_confirmation"": 6, ""secure_preview_confirmation"": 5}"
finance_confirm_card_account_changes,finance,risk_threshold,26,11,"{""before_after_comparison"": 7, ""secure_change_preview"": 7, ""change_checklist_callback"": 6, ""precise_change_readback"": 6}"
finance_minimal_pii_secure_verification,finance,privacy_consent,36,0,"{""secure_message_center"": 9, ""minimal_secure_panel"": 9, ""authenticated_app_callback"": 9, ""device_passkey_approval"": 9}"
finance_fraud_lost_card_urgent_escalation,finance,tool_action,27,13,"{""lock_then_fraud_team"": 7, ""verify_incident_then_lock"": 7, ""temporary_freeze_review"": 7, ""card_controls_timeline"": 6}"
finance_balance_statement_summary_first,finance,format_style,26,11,"{""merchant_category_rollup"": 7, ""headline_then_evidence"": 7, ""exceptions_first_table"": 6, ""chronological_timeline"": 6}"
finance_fee_dispute_evidence_then_case,finance,risk_threshold,28,11,"{""charge_timeline_threshold"": 7, ""evidence_pack_then_approval"": 7, ""unsubmitted_case_draft"": 7, ""merchant_reconciliation_first"": 7}"
finance_credit_loan_cautious_no_commitment,finance,risk_threshold,23,8,"{""side_by_side_scenarios"": 6, ""requirements_and_ranges"": 6, ""budget_stress_test"": 6, ""lender_question_checklist"": 5}"
finance_payment_status_latest_check,finance,tool_action,27,12,"{""secure_status_page"": 7, ""ledger_notification_crosscheck"": 7, ""processing_timeline_refresh"": 7, ""live_lookup_timestamp"": 6}"
software_collect_diagnostics_before_fix,software,tool_action,8,4,"{""last_known_good_comparison"": 2, ""environment_error_repro"": 2, ""clean_profile_reproduction"": 2, ""consented_diagnostic_bundle"": 2}"
software_docs_lookup_for_update_install,software,tool_action,7,1,"{""built_in_help_then_online"": 2, ""kb_changelog_crosscheck"": 2, ""compatibility_known_issues"": 2, ""official_docs_current_version"": 1}"
software_one_try_then_escalate,software,drift_seasonality,7,1,"{""one_attempt_then_ticket"": 2, ""two_distinct_attempts_then_ticket"": 2, ""reproducible_blocker_immediate_escalation"": 2, ""timeboxed_attempt_then_handoff"": 1}"
software_secure_login_password_flow,software,privacy_consent,9,0,"{""authenticated_app_callback"": 3, ""passkey_security_key_recovery"": 2, ""in_app_secure_reset"": 2, ""verified_browser_device_approval"": 2}"
software_platform_specific_steps,software,format_style,8,4,"{""phase_checklist"": 2, ""step_result_rollback_table"": 2, ""gui_command_pairing"": 2, ""numbered_menu_steps"": 2}"
software_backup_before_risky_change,software,risk_threshold,8,4,"{""sandbox_dry_run_snapshot"": 2, ""staged_rollout_checkpoint"": 2, ""full_backup_restore_point"": 2, ""config_export_restore_test"": 2}"
software_ticket_receipt_summary,software,format_style,7,4,"{""concise_prose_receipt"": 2, ""structured_receipt_table"": 2, ""timeline_handoff_receipt"": 2, ""machine_readable_plus_note"": 1}"
